题目T1,作者A1,地址AD,年份YR
网球比赛技战术决策分析系统研制,史芙英;张辉;梁成军;,上海体育学院体育教育训练学院;上海体育学院运动科学学院;,2010
基于本体的数据挖掘在CRM决策分析中的应用,李寰;贾保先;许丽莉;,聊城大学计算机学院;,2010
基于决策树分类算法的平行志愿填报及研究,赵小明;孙晓璇;李攀;胡绍波;,云南机电职业技术学院;云南省农村信用合作社;中国人民银行云南省分行;,2010
西南地区天然林资源近60年动态分析,周彬;蒋有绪;臧润国;,云南省林业科学院;中国林业科学研究院森林生态环境与保护研究所;,2010
基于动态分类器集成的客户流失预测模型研究,肖进;贺昌政;,四川大学工商管理学院;,2010
商业银行个人客户贡献度评价及实证分析,杨彬;尹为;,西安交通大学经济与金融学院;中国工商银行陕西分行;,2010
国内外知识管理系统研究:回顾与展望,李颖;姚艺;,南开大学公司治理研究中心;南开大学商学院信息资源管理系;,2010
基于数据挖掘技术的高校科技园区发展引擎机制研究,张利君;,哈尔滨工程大学;,2010
国内外教育数据挖掘研究现状及趋势分析,李婷;傅钢善;,陕西师范大学新闻与传播学院;,2010
主题数据模型的可视化挖掘方法应用研究,周宁;陈旭毅;曾桢;,武汉大学信息资源研究中心;,2010
全过程元数据驱动的实时BI基础平台研究,胡细平;,江苏教育科学研究院图书馆;,2010
基于数据挖掘的大学生竞争情报能力分析,腾格尔;何跃;贺昌政;,四川大学工商管理学院;,2010
基于SODM的多分类器融合及其在客户分类中的应用,肖进;贺昌政;,四川大学工商管理学院;,2010
高新技术产业竞争力评价实证研究,陈红川;,广州大学商学院;,2010
低收入家庭住房需求特征与住房保障研究——来自广州的实证分析,陈琳;丁烈云;谭建辉;周耀旭;吴开泽;,华中科技大学土木工程与力学学院;广州大学商学院;,2010
人文社科核心期刊引证研究——以《理论探讨》杂志为例的实证分析,惠国琴;,中共黑龙江省委党校;,2010
高校图书馆读者忠诚度提升与数据挖掘的融合研究,姚婉燕;,华中师范大学图书馆;,2010
基于云端的Web数据挖掘预取技术研究,陈锋敏;,湖北经济学院网络与教育技术中心;,2010
基于SQL的数据挖掘技术在物流企业管理中的应用,章刚勇;尹继东;龚凌燕;,南昌大学经济管理学院;江西大宇职业技术学院;,2010
我国国有商业银行客户关系管理体系研究,黄斐;张同建;,南京航空航天大学;江苏大学;,2010
异构专利数据源集成方案设计与实现,翟东升;禾文汇;,北京工业大学经济管理学院;,2010
读者借阅行为的关联知识发现实证分析,张炜1;,扬州大学图书馆;,2010
基于WEKA的高校图书馆流通数据的关联分析,马国栋;,上海大学图书馆;,2010
基于DFA方法的自组织组合预测模型的应用,叶学芳;何跃;,四川大学工商管理学院;,2010
基于数据挖掘的客户资产测量研究,彭虎锋;,中南财经政法大学信息与安全工程学院;,2010
商务智能系统实现的关键技术,许多顶;,上海金融学院信息管理学院;,2010
数据挖掘技术在分析型CRM中的应用研究,王慧;,浙江商业职业技术学院;,2010
管理科学中的一个创新性研究——错误理论的提出、进展和展望,刘世勇;郭开仲;孙东川;,西南财经大学经济与管理研究院;广东工业大学管理学院;暨南大学管理科学与工程研究所;,2010
黄灯期间信号交叉口的驾驶员行为,龙科军;何林儒;韩立;,"长沙理工大学交通运输工程学院;道路灾变防治及交通安全教育部工程研究中心;Department of Civil and Environmental Engineering,University of Tennessee at Knoxville,Knoxville,TN 37996-2010,USA;",2010
搭建基于云计算的开源海量数据挖掘平台,赵华茗;,中国科学院国家科学图书馆;,2010
数据挖掘与知识挖掘的比较研究,邱均平;周倩雯;,武汉大学中国科学评价研究中心;,2010
移动支付中的手机票务用户群体——基于关联规则数据挖掘的实证分析,李健民;,中南大学商学院;,2010
概念格在数字图书馆中的应用研究,姜传菊;,山东理工大学图书馆;,2010
数据挖掘及其在网络信息检索中的应用,董慧;唐敏;,武汉大学信息管理学院;,2010
基于因子分析的数值型数据聚类结果解释方法,李宝家;刘永前;刘明珠;,哈尔滨工业大学管理学院;哈尔滨工业大学数学系;,2010
K-Means聚类在我国专利申请分析中的应用,彭剑芳;,云南大学情报与档案学系;,2010
基于数据挖掘技术的高校图书馆读者行为研究,谭云江;凌云;闫海峰;董若剑;,西南交通大学图书馆;西南交通大学交通运输学院;,2010
信贷信息不对称下的信用卡信用风险研究,方匡南;吴见彬;朱建平;谢邦昌;,厦门大学经济学院;台湾辅仁大学管理学院;,2010
基于专利地图的治疗型超声竞争情报挖掘,侯筱蓉;赵德春;,重庆医科大学信息管理系;重庆邮电大学生物信息学院;,2010
涨跌停限制磁性效应加速特征研究——基于中国A股市场高频交易数据挖掘,程娟;甘小芳;,安徽大学国际商学院;复旦大学经济学院;,2010
基于多媒体语料库的数据驱动学习模式研究,焦彬凯;,许昌学院外国语学院;,2010
前瞻记忆的年老化效应:前瞻成分和回溯成分的调节作用,陈思佚;周仁来;,"认知神经科学与学习国家重点实验室,北京师范大学;应用实验心理北京市重点实验室,北京师范大学;儿童发展和学习科学教育部重点实验室,东南大学;",2010
我国外汇储备影响因素实证分析,夏亮;符亚明;曾诗鸿;,北京工业大学经济与管理学院;北京联合大学商务学院;,2010
城市公共安全的应急响应模拟,毛锋;李强;,清华大学建筑学院;,2010
关联数据驱动的Web应用研究,黄永文;,中国科学院国家科学图书馆;,2010
关联数据在图书馆中的应用研究综述,黄永文;,中国科学院国家科学图书馆;,2010
翻译教学中批判性思维的培养模式研究,余国良;,宁波工程学院;,2010
实证驱动的信息系统扩散与组织互动模拟研究,吴江;胡斌;鲁耀斌;,华中科技大学管理学院;,2010
基于GMDH网络的我国外汇储备影响因素实证研究,吴勤学;符亚明1;,北京联合大学;,2010
学习者语料库数据在外语教学中的应用:思想与方法,甄凤超;王华;,上海交通大学外国语学院;同济大学外国语学院;,2010
从数据驱动到概念驱动:物理问题解决方式的重要转变,邢红军;,北京师范大学心理学院;,2010
基于特征分析的数字化期刊元数据自动抽取算法,陈淑平;梁东魁;,燕山大学图书馆燕山大学信息科学与工程学院;,2010
基于实例学习在浅层句法分析中的应用,徐睿;王惠临;,中国科学技术信息研究所;,2010
SVM回归在高校教育质量分析中的应用研究,屈文建;谭光兴;魏莺;徐晓芳;,江西财经大学高等教育研究所;南昌大学信息工程学院;,2010
基于机器学习技术的旅游方式偏好研究——以南京市为例,张郴;张树夫;陶卓民;,南京大学国土资源与旅游学系;南京师范大学地理科学学院;,2010
一种新的Boosting回归树方法,宋捷;吴喜之;,中国人民大学统计学院;中国人民大学应用统计研究中心;,2010
互联网商品评论情感分析研究综述,张紫琼;叶强;李一军;,哈尔滨工业大学管理学院;,2010
句子情感分析及其关键问题,李纲;程洋洋;寇广增;,武汉大学信息管理学院;,2010
数字化信息服务的个性化发展:从可适应到自适应,罗蔚;,湖南科技大学图书馆;,2010
面向突发事件的群体情绪监控预警,刘志明;刘鲁;,北京航空航天大学经济管理学院;,2010
基于SVM的国防科研院所自主创新能力预测模型,赵瑞君;牟艳琼;郑晓齐;,北京航空航天大学高等教育研究所;,2010
利用脑成像多体素模式分析解码认知的神经表征:原理和应用,雷威;杨志恒1;詹旻野;李红;翁旭初;,西南大学心理学院;中国科学院心理学研究所脑高级功能实验室;,2010
