题目T1,作者A1,地址AD,年份YR
大数据背景下的报纸转型样本——以芝加哥论坛报、佛山日报的大数据应用为例,陶志强;,佛山日报社;,2013
传播学研究:大数据时代的新范式,喻国明;王斌;李彪1;杨雅;,中国人民大学新闻学院;中国人民大学新闻与社会发展研究中心;,2013
数据入侵:“538”博客的实践与启示,瞿旭晟;,上海理工大学出版印刷与艺术设计学院;,2013
大数据时代新闻采编人员职业能力培训,李明星1;,南京大学新闻传播学院;,2013
财经记者与数据素养,金兼斌;,清华大学新闻与传播学院;,2013
大数据对于传播学研究内容和方法的影响——基于社交媒体和移动互联网的思考,胥琳佳;,中国科学院大学新闻与科学传播系;,2013
近十年我国旅游学术共同体的发展格局与分类评价——基于旅游学术期刊论文大数据的视角,张凌云;兰超英;齐飞;吴平;,西南财经大学工商管理学院;北京联合大学旅游学院;中国社会科学院研究生院;,2013
商业银行大数据应用的理论、实践与影响,蔚赵春;凌鸿;,复旦大学管理学院;上海浦东发展银行;,2013
面向新闻领域的中文文本分类研究综述,薛春香;张玉芳;,南京理工大学信息管理系;,2013
变革中的大数据知识服务:面向大数据的信息移动推荐服务新模式,张兴旺1;李晨晖1;麦范金1;,桂林理工大学;广西矿冶与环境科学实验中心;,2013
出版业中国梦之“TIME”战略,程忠良1;,安庆师范学院;,2013
大数据时代图书选题策划的技术手段,王琪;姚永春;,武汉大学信息管理学院;,2013
基于语义扩展搜索的图书馆服务研究,陈萍秀;,成都航空职业技术学院图书馆;,2013
科学数据服务:图书馆服务的新领域,陈建新;,江苏食品职业技术学院图书馆;,2013
做好大数据背景下的税收调查工作的思考,黄胤强;黄民锦;,广西财经学院;广西财政厅;,2013
大数据管理的现实匹配、多重挑战及趋势判断,林志刚;彭波;,清华大学公共管理学院;清华大学社会科学学院;,2013
基于B-样条基底展开的曲线聚类方法,黄恒君;,兰州商学院统计学院;兰州商学院甘肃省经济发展数量分析研究中心;,2013
变量选择方法及其在健康食品市场研究中的应用探究,李扬;朱建锋;谢邦昌;,中国人民大学统计学院;中国人民大学应用统计科学研究中心;厦门大学经济学院;天主教辅仁大学管理学院;西安财经学院统计学院;,2013
大数据时代应用文写作中数据的应用——以公共政策评估报告写作为例,罗月领;韩振;,上海金融学院财税与公共管理学院;同济大学经济与管理学院;,2013
美国联邦政府电子政务的发展模式、趋势及启示,何军;,南京市信息中心;,2013
公共危机管理领域中的社会网络分析——现状、问题与研究方向,康伟;陈波;,哈尔滨工程大学经济管理学院;,2013
“院校研究数据分析的对象、内容和方法研讨会”简述,杨亚辉;,NA,2013
大数据时代下个人云资源柜的构建研究,陈巧;施佺;邵叶秦;,南通大学现代教育技术中心;,2013
大数据背景下数字校园建设的目标、内容与策略,于长虹;王运武;,江苏师范大学教育研究院;洛阳师范学院网络与电化教育中心;,2013
大数据时代下数据质量的挑战,宗威;吴锋1;,西安交通大学管理学院;西安交通大学教育部过程与控制重点实验室;,2013
大数据视角分析学习变革——美国《通过教育数据挖掘和学习分析促进教与学》报告解读及启示,徐鹏;王以宁;刘艳华;张海;,东北师范大学信息化管理与规划办公室;东北师范大学传媒科学学院;吉林大学公共外语教育学院;,2013
大数据与信息化教学变革,金陵;,苏州市电化教育馆;,2013
“网络学习空间人人通”建设框架,祝智庭;管珏琪;,华东师范大学上海数字化教育装备工程技术研究中心;华东师范大学教育信息技术学系;,2013
基于MOOCs大数据的学习分析和教育测量介绍,张羽;李越;,清华大学教育研究院;,2013
官方统计与大数据对比分析,郭秦川;,陕西省统计局科研所;,2013
基于云计算与大数据的高等教育质量指数建构——技术、理论、机制,赵伶俐;,西南大学教育学部/高等教育研究所;,2013
从“数据”到“大数据”:对经济报道及媒体的几点“颠覆性”思考,范敏;,北京工商大学艺术与传媒学院新闻系;中国人民大学新闻学院;,2013
大数据技术背景下的工商行政管理信息资源,徐林;,贵州省工商行政管理局信息中心;,2013
新学术环境下科技期刊数字出版平台的技术发展趋势,姚伟欣;马建华;,中国科学院国家科学图书馆;中国科学院大学;,2013
都市报全媒体运营模式的管理与完善,曹峰;,华西都市报;,2013
1997—2012年我国数字参考咨询研究主题分析,王锰;郑建明;,南京大学信息管理学院;,2013
基于大数据的CDRS知识整合研究框架构建,崔慧红;,禹州市图书馆;,2013
图书馆联机目录(OPAC)的注意力危机及其重构策略——基于供需不对称视角的分析,于国辉;严潮斌;吴旭;杨广锋;,北京邮电大学图书馆;,2013
美国推进大数据的应用实践及其有益借鉴——基于图书馆视角的分析,程莲娟;,浙江师范大学图书馆;,2013
基于吸收能力的CD RS隐性知识显性化过程研究,袁红军;,郑州师范学院图书馆;,2013
基于大数据构建图书馆知识服务引擎研究,孙卓;,吉林广播电视大学远程教育学院;,2013
基础设施、情报、创新:启动数据科学的研究历程——IDCC2013会议综述,吴振新;齐燕;付鸿鹄;刘超;李文燕;刘晓敏;王玉菊;,中国科学院国家科学图书馆;中国科学院国家科学图书馆成都分馆;中国科学院大学;,2013
数字图书馆建设中大数据问题初探,李白杨;张心源;,郑州大学信息管理系;,2013
基于云计算的出版企业大数据服务研究,刘灿姣;叶翠;,中南大学文学院;湘潭大学公共管理学院;,2013
会计职业的未来发展,秦荣生;,北京国家会计学院;,2013
复杂议题融合报道中的大数据策略——以《卫报》网“解读骚乱”专题为例,黄超;,中国人民大学新闻学院;,2013
大数据时代下的媒体机遇,郭全中;郭凤娟;,国家行政学院社会和文化教研部;中国艺术研究院;,2013
大数据与科技管理,徐迪威;,广东省计算中心;,2013
语言服务行业技术视域下的MTI技术课程体系构建,王华树;,北京师范大学;北京大学;,2013
论大数据时代的货币数据化建设,胡丘陵;,华中科技大学社会学系;,2013
大数据时代的数字图书馆异构数据集成研究,温浩宇;李京京;,西安电子科技大学经济与管理学院;,2013
开放与参与——信息图表生产中的互动设计及社区形成,卢一波;邓伟;彭兰;,中国人民大学新闻学院;,2013
基于大数据的竞争情报协作分析研究,顾涛;,中国人民大学信息资源管理学院;,2013
数据革命:从数到大数据的历史考察,刘红;胡新和;,中国科学院大学人文学院;,2013
“大数据”时代企业生态系统的演化与建构,资武成;,湖南师范大学商学院;,2013
基于大数据的教育技术研究新范式,祝智庭1;沈德梅;,华东师范大学 上海数字化教育装备工程技术研究中心;,2013
基于Web2.0的网络协同科研平台构成及实例研究,成全;罗栋;张悦;,福州大学公共管理学院;国家图书馆;工业和信息化部电子科学技术情报研究所;,2013
教育及社会科学研究中的数据——兼议当前的大数据热潮,阎光才;,华东师范大学高等教育研究所;,2013
国际大数据研究论文的计量分析,薛辰;,南京大学信息管理学院;,2013
2013年:大数据驱动下的传媒转型,钟瑛;张恒山;,华中科技大学新闻与信息传播学院;,2013
金融大数据及银行卡产业大数据实践,柴洪峰;,中国银联股份有限公司;,2013
大数据环境下的网络协同创新平台及其应用研究,黄南霞;谢辉;王学东;,华中师范大学信息管理学院;,2013
面向大数据时代的图书馆知识服务,鲍翠梅;,山东理工大学图书馆;,2013
从话语平权到话语再集权:社会热点事件的微博传播机制研究,李彪1;郑满宁;,中国人民大学新闻学院;中国人民大学新闻与社会发展研究中心;,2013
基于粒度原理的知识组织模型构建,徐绪堪;郑昌兴;蒋勋;,南京大学信息管理学院;河海大学信息管理系;,2013
基于数据的产学研协同创新关键动力优化,邵景峰;王进富;马晓红;吴生;刘勇;,西安工程大学管理学院;长安大学信息工程学院;动力与能源部咸阳华润纺织有限公司;,2013
大数据时代商业银行信息化发展思路,赵付玲;安锋;张晓锋;,NA,2013
关于企业会计转型的一点思考,许金叶;许琳;,上海大学管理学院;,2013
大数据时代的国家创新系统构建问题研究,张军;姚飞;,南开大学经济学院;天津工业大学管理学院;,2013
大数据背景下干部网络教育平台发展的困境和出路,翟霞;冀翠萍;,中共山东省委党校信息网络中心;,2013
Web2.0环境下美国开放政府计划实践进展评述,冉从敬;刘洁;陈一;,武汉大学信息管理学院;,2013
大数据背景下的自学考试决策支持系统研究,马尚玮;马元让;,甘肃省高等教育自学考试办公室;,2013
体育科学研究方法向何处去?十个趋向与三个问题,张力为;张凯;,北京体育大学运动人体科学学院;北京体育大学体育教育学院;,2013
现代情报服务与技术发展趋势,黄斌;,江苏省科技情报研究所;,2013
大数据时代图书馆数据长期可用性保障研究,马晓亭;,兰州商学院信息工程学院;,2013
一种大数据时代基于读者体验视角的数字图书馆个性化搜索引擎,陈臣;,兰州商学院网络中心;,2013
个性化新书推荐系统的设计与实现,杨佳;,中国科学技术信息研究所;上海图书馆上海科学技术情报研究所;,2013
基于大数据环境的科学数据共享模式研究,左建安;陈雅;,南京大学信息管理学院;,2013
泛公共云环境下的社会科学情报视角与方法研究,罗繁明;,广东省社会科学院图书馆;,2013
大数据时代的中国应急管理体制改革,李丹阳;,北京航空航天大学公共管理学院;,2013
大数据时代的“个人电子信息”界说——权利衍生的比较法研究,陈绚;李彦;,中国人民大学新闻与社会发展研究中心;中国人民大学新闻学院;昌吉学院;,2013
大数据背景下的应用情报学研究,刘红霞;白万豪;,中国人民大学信息资源管理学院;,2013
资源·技术·思维——大数据时代档案馆的三维诠释,周枫;,上海大学图书情报档案系;,2013
智慧城市背景下公众反馈大数据分析:概率主题建模的视角,马宝君;张楠;孙涛;,北京邮电大学经济管理学院;清华大学公共管理学院;,2013
基于大数据的旅游服务供应链管理研究,陈涛;李佼;,华中科技大学公共管理学院;,2013
基于大数据理念构建经济金融管理体系,戴稳胜;,中国人民大学国际货币研究所;中国人民大学财政金融学院;,2013
浅析大数据时代我国互联网电视产业的发展策略,邬建中;,西南大学新闻传媒学院;四川外国语大学新闻传播学院;,2013
基于云计算的电子政务大数据管理研究,迪莉娅;,燕山大学文法学院;,2013
我国大数据研究现状与热点分析,代芯瑜;张文曦;,云南大学公共管理学院;,2013
互联网经济下企业价值网络创新研究,程立茹;,中央民族大学管理学院;,2013
关于云金融的思考,霍学文;,北京市金融工作局;,2013
管理学百年与中国管理学创新发展,陈佳贵;,中国社会科学院;中国企业管理研究会;,2013
基于“大数据”的商业模式创新,李文莲;夏健明;,上海财经大学国际工商管理学院;青岛理工大学人文与社会科学学院;,2013
中国农民工住房问题的历史与现状,董昕;,中国社会科学院城市发展与环境研究所;,2013
基于KDD的单病种成本估计方法,徐靖;刘子先;邹刘霞;李娅访;,天津大学管理与经济学部;中国人民解放军第二五四医院;,2013
体育院校辅导员管理行为效益模糊分析,桑国强;,温州大学体育学院;,2013
基于R&D指标的先导性战略新兴产业发现研究,陈文俊;贺正楚;吴艳;,中南林业科技大学经济学院;长沙理工大学经济与管理学院;,2013
基于专利引证网络的技术进化路线分析——以数据挖掘领域为例,许琦;顾新建;陈芨熙;,浙江大学现代制造工程研究所;台州职业技术学院机电一体化技术实验室;,2013
地籍宗地时空数据库中的变化检测,万远;李霖;应申;,天津市测绘院;武汉大学资源环境学院;,2013
企业视角下的情报学硕士教育教学改革,郭少友;毛金龙;,郑州大学信息管理系;,2013
一种面向技术进化的知识适应能力评价方法:基于专利引证网络的知识遗传分解,许琦;,台州职业技术学院机电一体化技术实验室;,2013
基于决策树算法的竞争对手识别模型研究,王知津;周鹏;韩正彪;,南开大学商学院信息资源管理系;,2013
基于泛化语义相似的科技文献混合推荐算法,徐勇;陈建国;胡凌云;张林;周善英;,安徽财经大学管理科学与工程学院;,2013
基于多维形态特征表示的时间序列相似性度量,李海林;郭崇慧;,大连理工大学系统工程研究所;华侨大学工商管理学院;,2013
我国高校学术竞争力的评价分析,董月玲;季淑娟;,北京科技大学图书馆;,2013
基于知识管理的供电企业客户关系管理研究,陈丽君;王汉斌;,太原理工大学经济管理学院;,2013
我国情报学研究的可视化分析,刘晓波;,重庆第二师范学院南山校区图书馆;,2013
高校学科学术表现与影响的文献计量评价分析,季淑娟;董月玲;张丽英;,北京科技大学图书馆;,2013
一种面向混合属性的关联规则变化挖掘算法,朱慧云;陈森发;张丽杰;,东南大学经济管理学院;南京信息工程大学经济管理学院;,2013
基于数据挖掘的学生成绩影响模型的研究,陈益均;殷莉;,南通大学现代教育技术中心;,2013
期刊引用操纵行为研究综述,鞠秀芳;郑彦宁;潘云涛;,南京大学中国社会科学研究评价中心;中国科学技术信息研究所;,2013
国外CSCL交互分析方法研究综述,吴青;罗儒国;,武汉大学;,2013
现代篮球比赛挡拆配合临场表现的数字符号分析,霍子文;张戈;,西北农林科技大学体育部;北京大学体育教研部;,2013
我国水稻产业专利情报计量分析与趋势研究,刘兰娜;,中山大学图书馆;,2013
特色库维护策略研究——以葛洪专题文献数据库为例,黄晓芳;黎邦群;,惠州学院图书馆;,2013
我国学术不端领域研究进展分析——基于CNKI的文献计量研究,沈艳红;张群;张娣;,江南大学图书馆;,2013
基于数据挖掘的移动电子商务用户群体特征分析,胡东波;肖璇;周锦;,暨南大学管理学院;,2013
云模型在环境经济问题研究中的应用综述,陶建格;,中原工学院经济管理学院;,2013
基于文献计量的国际油气探测研究进展分析,赵纪东;郑军卫;,中国科学院资源环境科学信息中心/中国科学院国家科学图书馆兰州分馆;,2013
云计算基础教育质量监测与评价平台的设计与实现,李玲;何霖俐;张辉蓉;王智;何怀金;,西南大学教育学部;,2013
美国院校研究的过去、现在和未来——基于高等教育发展的视角,常桐善;,美国加州大学校长办公室院校研究室;,2013
面向特定学科的知识地图自动化构建研究,蔡荣啸;陈刚;,扬州大学新闻与传媒学院;,2013
电子商务环境下信息管理模式研究,姚梅芳;杨修;杨涵;,吉林大学管理学院;中国医学科学院阜外心血管病医院;,2013
国际管理信息系统研究热点及趋势,章以佥;宗乾进;袁勤俭;,南京大学工程管理学院;南京大学信息管理学院;,2013
基于数据仓库技术的图书馆业务数据可视化监控平台——以厦门图书馆为例,张肖回;,厦门市图书馆;,2013
中国民意调查研究回顾,王迪;童兵;,复旦大学新闻学院;,2013
企业审计中财务困境预警模型自学习功能的实现研究——基于五种不同数据挖掘模型测试的结果,李博;罗良辰;,审计署驻哈尔滨特派办办事处;,2013
基于顾客需求模式的挖掘:电子商务推荐系统研究的一种新视角,林泉;叶迪;,汕头大学商学院;汕头大学粤台企业合作研究院;,2013
基于数据挖掘的客户知识管理模型研究,陈鹤;王瑜珩;,华中科技大学公共管理学院;,2013
基于领域本体的数字图书馆及应用研究,顾英;柯平;李泽华;,军事交通学院图书馆;南开大学商学院信息资源管理系;,2013
文献老化在图书馆书目挖掘中的应用研究,邓奇强;熊燕;郭锋;,怀化学院图书馆技术部;怀化学院图书馆文献资源建设部;怀化学院图书馆;,2013
基于混合推荐的学术资源推荐系统的服务模式与数据挖掘,钟克吟;,肇庆学院图书馆;,2013
基于数据挖掘的商务情报智能分析方法研究:现状调查与问题分析,何超;张玉峰;,武汉大学信息资源研究中心;,2013
基于作者关键词耦合的潜在合作关系挖掘,陈卫静;郑颖;,中国科学院国家科学图书馆成都分馆;中国科学院研究生院;,2013
基于关联数据的知识发现应用体系研究,李楠;张学福;,中国农业科学院农业信息研究所;中国社会科学院研究生院图书馆;中国农业科学院农业信息研究所数据库研究室;,2013
国外主要可视化数据挖掘开源软件的比较分析研究,杨振瑜;王效岳;白如江;,山东理工大学科技信息研究所;,2013
分类中的类重叠问题及其处理方法研究,熊海涛;吴俊杰;刘洪甫;刘鲁;,北京工商大学计算机与信息工程学院;北京航空航天大学经济管理学院;,2013
应对档案数据库中敏感数据挖掘威胁的实证研究,王兰成;,南京政治学院上海校区军事信息管理系;,2013
基于数据挖掘的保险客户风险—贡献评级管理,刘晓葳;,厦门大学经济学院;,2013
基于ESDA的河南艾滋病空间格局,徐旳;柯文前;陈培阳;,南京师范大学地理科学学院;南京大学地理与海洋科学学院;,2013
利用MODIS产品和DMSP/OLS夜间灯光数据监测城市扩张,毛卫华;胡德勇;曹冉;邓磊;,中国测绘科学研究院浙江分院;首都师范大学资源环境与旅游学院;北京师范大学减灾与应急管理研究院;,2013
基于教学状态数据的高校教学质量管理新路径探析,李振华;孙忠梅;徐晨;,深圳大学教务部;深圳大学;,2013
中国远程教育学生流失现状及归因,谭明杰;周仲文;邵培基;李莹;,电子科技大学经济管理学院;四川广播电视大学;中央广播电视大学现代远程教育研究所;,2013
基于数据挖掘的教师网络学习行为分析与研究,吴淑苹;,中央广播电视大学;,2013
数据挖掘在物流业的应用综述,肖娟;,浙江工业大学之江学院;,2013
基于关联规则的我国SSCI文献数量特征研究,余莉;邱长波;毕达天;,吉林大学管理学院;,2013
基于MapReduce构建专利技术功效图的研究,翟东升;蔡万江;陈晨;黄鲁成;赵京;,北京工业大学经济与管理学院;,2013
网络节点重要度的快速评估方法,肖卫东;谭文堂;葛斌;李芳芳;,国防科技大学信息系统工程重点实验室;,2013
土地财政与城市经济发展问题,李郇;洪国志;,中山大学城市与区域研究中心;,2013
关于综合利用Benford法则与其他方法评估统计数据质量的进一步研究,刘云霞;曾五一;,厦门大学经济学院统计系;教育部统计学教学指导分委员会;,2013
"科研数据管理:保障数据质量,促进iSchools新科学研究",Gary Marchionini;杨冠灿;芦昆;,美国北卡罗来纳大学教堂山分校图书馆与信息学院;武汉大学信息管理学院;,2013
基于关联规则的高校图书馆个性化推荐模型,马仲兵;,长江师范学院图书馆;,2013
基于数据挖掘的中文理工科纸本图书采访经费分配模型,张计龙;殷沈琴;龙向洋;,复旦大学图书馆;,2013
民族文化旅游者行为模式系统分析,窦开龙;,四川大学经济学院理论经济学博士后流动站;,2013
土地承包经营权流转方式的制度效果分析——基于流转纠纷司法裁判文书数据挖掘的实证视角,汪青松;,西南政法大学民商法学院;,2013
海峡两岸妈祖文化网络传播的差异研究——基于网络文本的内容分析,杨杨;,上海海洋大学人文学院;,2013
复杂网络上的信息传播问题分析,张永安;纪诗奇;,北京工业大学经济与管理学院;,2013
用户生成内容研究综述,李妙玲;,辽宁师范大学图书馆;,2013
数据挖掘应用于高校图书馆个性化服务的探讨,顾倩;,徐州医学院图书馆采编部;,2013
微博信息可信度分析研究综述,蒋盛益;陈东沂;庞观松;吴美玲;王连喜;,广东外语外贸大学信息学院;广东外语外贸大学国际工商管理学院;广东外语外贸大学图书馆;,2013
图书馆学科发展趋势及未来重点领域,柯平;,南开大学商学院信息资源管理系;,2013
情报学跨学科知识引用实证研究,孙海生;,聊城大学图书馆;,2013
改进型RBF神经网络在股票市场预测中的应用,魏文轩;,信阳师范学院工商管理学院;,2013
