题目T1,作者A1,地址AD,年份YR
粗糙集和BP神经网络在供应链绩效评价中的应用研究,史成东;陈菊红;郭福利;,"西安理工大学工商管理学院,西安理工大学工商管理学院,西安理工大学工商管理学院 西安710048,山东理工大学电气与电子工程学院,山东淄博255049,西安710048,西安710048",2008
基于可拓数据挖掘的智能决策支持系统,王洪利;,中原工学院经济管理学院 郑州450007,2008
文本挖掘及其教育应用,程志;黄荣怀;,"北京师范大学,北京师范大学 北京100875,北京100875",2008
网络信息计量学方法论,邱均平;张洋;赵蓉英;," 武汉大学信息资源研究中心,中山大学资讯管理系,武汉大学信息资源研究中心,",2008
XML在Web数据挖掘中的应用,汪全莉;,湘潭大学管理学院 湘潭411105,2008
数字图书馆中读者偏好智能分析系统,刘静春;余玲;,"柳州职业技术学院,柳州职业技术学院 柳州545006,柳州545006",2008
“信息参考”数据库网络资源采集探讨,朱弋玮;,厦门大学图书馆 福建厦门361005,2008
试论文本挖掘及其应用,肖建国;," 湛江师范学院图书馆,",2008
基于IID3的电子商务信息挖掘研究,王玲;肖海军;郑兰先;,"武汉职业技术学院,中国地质大学(武汉),武汉职业技术学院 武汉430074,武汉430074,武汉430074",2008
天津滨海新区制造业回收物流合理化研究,于宝琴;,天津财经大学商学院 天津300222,2008
天然气消费量自组织数据挖掘预测研究,高建;董秀成;,"中国石油大学(北京)工商管理学院,中国石油大学(北京)工商管理学院 北京102249,北京102249",2008
数据挖掘与商业智能的现况及未来发展,谢邦昌;李扬;,"台湾辅仁大学统计资讯学系,中国人民大学统计学院 台北,北京100872",2008
证券市场中的不确定挖掘预测模型研究,谭华;谢赤;,"湖南大学工商管理学院,湖南大学工商管理学院 湖南长沙423000,湖南长沙423000",2008
数据挖掘及其在企业管理中的应用,孙华梅;,哈尔滨工业大学管理学院 黑龙江哈尔滨150001,2008
基于数据挖掘的内幕操纵行为甄别研究,张宗新1;沈正阳;,"复旦大学金融研究院,东北证券研究所 上海200433,上海200002",2008
序列模式挖掘在乒乓球比赛技战术分析中的应用,赵养清;虞丽娟1;张辉1;,"上海体育学院运动科学学院,上海体育学院学院办公室,上海体育学院体育教育训练学院 上海200438,上海200438,上海200438",2008
数据挖掘技术在体育比赛技战术分析中的应用研究,赵会群;孙晶;花勇民;金季春;,"北京体育大学运动人体科学学院,北方工业大学信息工程学院,北京体育大学运动人体科学学院,北京体育大学运动人体科学学院 北京100061,北京100041,北京100061,北京100061",2008
信息分析与预测课程发展趋势初探,苏敏;,哈尔滨工程大学图书馆 哈尔滨150001,2008
基于数据挖掘技术的入侵检测系统研究,林海萍;梁卫权;,"广东商学院教育技术中心,广东商学院教育技术中心 广州510320,广州510320",2008
情报分析中五项新技术的应用解析,李娜;吴清强;侯丽萍1;,"中国科学院研究生院,中国科学院研究生院,中国科学院研究生院 北京100049,中国科学院国家科学图书馆成都分馆,四川成都610041,北京100049,中国科学院国家科学图书馆,北京100080,北京100049,中国科学院国家科学图书馆,北京100080",2008
一种基于库存理论的图书订购策略,王伊蕾;李涛;王福生;钟丽;,"鲁东大学计算机科学与技术学院,鲁东大学网络中心,鲁东大学图书馆,鲁东大学计算机科学与技术学院 山东烟台264025,山东烟台264025,山东烟台264025,山东烟台264025",2008
Web文本分类技术研究现状述评,高淑琴;,"江苏徐州师范大学图书馆 徐州,221116",2008
图书情报领域知识发现研究文献内容分析,王敏;张志强;,"中国科学院国家科学图书馆兰州分馆,中国科学院国家科学图书馆兰州分馆 兰州730000中国科学院研究生院,北京100049,兰州730000",2008
基于数据挖掘的远程学习者网上学习行为研究,孙莹莹1;程华;万浩;," 华东理工大学网络教育学院,华东理工大学网络教育学院,华东理工大学网络教育学院,",2008
面向客户全生命周期价值的客户行为分析决策支持研究,应维云;覃正;李秀;,"西安交通大学管理学院,上海财经大学信息管理与工程学院,清华大学国家CIMS工程研究中心 西安710049,上海200433,北京100084",2008
基于逻辑回归的企业大额可疑外汇资金交易识别模型,孙景1;李志伟;刘炜;,"西安交通大学经济与金融学院,西安交通大学经济与金融学院,广东发展银行科技部 陕西西安710061,陕西西安710061,广东广州510080",2008
支持个性化学习的e-Learning系统研究,王艳芳;,云南师范大学电子系 云南昆明650092,2008
基于TDM的高校科技创新团队科研方向潜力评估,张海燕;陈士俊;王江;,"天津职业大学经管学院,天津大学STS研究中心,军事交通学院汽车系 天津300402天津大学管理学院,天津300072,天津300161",2008
决策支持系统在高校毕业生就业管理中的应用研究,吴海鹏;马吉权;,"黑龙江省大中专学校学生信息咨询与就业指导中心,黑龙江省大中专学校学生信息咨询与就业指导中心 黑龙江哈尔滨150090,黑龙江哈尔滨150090",2008
决策树方法在远程教育过程考核中的探索,肖勇;程华1;孙莹莹2;,"华东理工大学网络教育学院,华东理工大学网络教育学院,华东理工大学网络教育学院 上海200237,上海200237,上海200237",2008
构筑面向决策支持的统计数据挖掘系统面临的几个问题,柳小鹏;杨帆;米红;,"厦门大学模式识别与智能系统研究所,厦门大学模式识别与智能系统研究所,厦门大学模式识别与智能系统研究所 福建厦门351005,福建厦门351005,福建厦门351005",2008
科技园的创新环境对园内企业绩效的影响,杨震宁;吕萍;王以华;,"清华大学经济管理学院,清华大学经济管理学院,清华大学经济管理学院 北京100084,北京100084,北京100084",2008
文化产品有效供给及转型期文化产品供给特征剖析,左惠;,中国传媒大学媒体管理学院 北京100024,2008
科技计划项目后评估中的专利评价方法研究,雷孝平;朱东华;周春娜;,"北京理工大学管理与经济学院,北京理工大学管理与经济学院,济南市委办公厅 北京 100081,北京 100081,山东 济南 250001",2008
是“公共能量束”而非“公共能量场”在解决着我国“焦点事件”——《后现代公共行政》评述兼议我国“拐点行政”走向,尚虎平;,南京审计学院公共管理与绩效评估研究院;,2008
基于SPSS知识地图的国内数据挖掘研究现状分析,钱峰;,南京大学国际商学院;,2008
数据挖掘系统的构建及时序分析算法在话务网络管理中的应用,张晗;李松;孙国荣;,吉林大学管理学院;吉林大学计算机科学与技术学院;,2008
Web站点综合分析挖掘系统框架研究,应维云1;覃正1;李秀1;,西安交通大学管理学院;上海财经大学信息管理与工程学院;清华大学国家CIMS工程研究中心;,2008
基于系统思考的知识发现流程研究,李农;陈隽;,上海社会科学院信息研究所;,2008
知识挖掘的概念困境与广义知识挖掘,冯新民;王建冬;,连云港师范高等专科学校图书馆;北京大学信息管理系;,2008
数据挖掘技术在知识生产管理中的应用分析,傅翠晓;钱省三;,上海理工大学管理学院;,2008
图书馆个性化信息服务技术与应用分析,杨文珠;,武汉大学信息管理学院;,2008
基于知识管理的数字档案馆中的数据挖掘,黄小忠;史江;,四川大学公共管理学院;,2008
基于概念格的数据挖掘方法在教学质量分析中的应用,谢丽萍;吴强;,绍兴文理学院工学院;,2008
基于重复购买理论的一种新的客户选择方法,吕晓玲;吴喜之;,中国人民大学统计学院;中国人民大学统计学院;,2008
商业智能在企业中的运用及发展趋势初探,郑永彪;肖荣阁;,中国地质大学(北京)地球科学与资源学院;中国地质大学(北京)地球科学与资源学院;,2008
股票价格时间序列的隐藏瞬时模式识别方法研究,杜宽旗;蒙肖莲;,南京理工大学经管学院;南京理工大学经管学院;,2008
提升企业绩效的新途径:选择创新型供应商,于昕;王道平;黄哲学;,北京科技大学经济管理学院;香港大学电子商务科技研究所;,2008
雪灾交通预警布局的空间信息分析框架研究,樊博;,上海交通大学国际与公共事务学院;,2008
信息可视化应用研究进展,李纲1;郑重1;,武汉大学信息资源研究中心;,2008
图书流通信息多层关联规则挖掘法的优化与应用,马宏惠;张平;,华中科技大学图书馆;华中科技大学计算机学院;,2008
英文媒体的议程设置及对国家形象管理的启示:对五个奥运举办城市报道主题的跟踪研究,董小英;彭泗清;王其文;余艳;郝金星;陈文广;窦曦骞;,北京大学光华管理学院;香港城市大学商学院资讯系统系;北京大学信息管理系;,2008
结合离群值对广东省进出口总额的预测分析,杨子怡;,北京工业大学应用数理学院;,2008
数据挖掘在投资理财意识调查分析中的应用,何海鹰;朱建平3;谢邦昌1;陈铮;,厦门大学经济学院;台湾辅仁大学统计资讯学系;,2008
数据挖掘技术在证券业营销策略分析系统中的应用,石娟;,天津大学管理学院;,2008
客户关系管理中数据挖掘的应用,郭风;秦惠林;,北京物资学院信息学院;,2008
隔网对抗项目技战术分析的系统研究,虞丽娟2;张辉2;凌培亮1;,上海体育学院;同济大学;,2008
国内数据挖掘工具研究综述,钱峰1;,南京大学商学院;,2008
用于问卷调查数据的知识发现系统设计和实现,周颖;黄荣怀1;段季芳;闻林涛;,北京师范大学教育技术学院;北京师范大学信息科学与技术学院;,2008
基于语义挖掘的智能竞争情报系统研究,王伟;,东北财经大学图书馆;,2008
数据挖掘研究现状综述,王立伟;,上海社会科学院图书馆;,2008
图书馆开展知识服务的途径研究,张光前;陈廷斌;,大连理工大学系统工程研究所;东北大学东软信息学院;,2008
数据挖掘在R&D统计中的应用分析,李芳林;赵喜仓;,江苏大学财经学院;,2008
基于SODM的贝叶斯分类器结构学习及其在客户分类中的应用,肖进;贺昌政;,四川大学工商管理学院;,2008
税收稽查选案中的数据挖掘技术,徐正云;,华中科技大学管理学院;,2008
证券投资意识调查分析——基于数据挖掘的视角,何海鹰1;朱建平4;谢邦昌2;,厦门大学经济学院计划统计系;中华资料采矿协会(台湾);,2008
可疑外汇交易的分类识别方法及其应用,赵小虎;张成虎;,西安交通大学经济与金融学院;,2008
财会信息资源元数据标准的研究,胡仁昱;朱建国;,华东理工大学商学院;上海理工大学管理学院;,2008
市场营销行为的决策技术研究与应用——购物篮分析,李敏;,哈尔滨商业大学计算机与信息工程学院;,2008
基于数据仓库逻辑的知识仓库体系结构,路永和;罗新;,中山大学资讯管理系;,2008
基于数据挖掘的图书馆活跃读者研究,张金镯;,河北工业大学图书馆;,2008
数据挖掘技术在证券业营销策略分析系统中的应用,石娟;齐二石;,天津大学管理学院;,2008
基于数据挖掘技术的专利信息分析,马芳;王效岳;,山东理工大学图书馆;,2008
储层含油性识别的数据驱动灰色关联预测方法,诸兵;郭海湘;,北京航空航天大学理学院;中国地质大学经济管理学院;,2008
基于数据驱动的供应商绩效评价体系研究,于昕1;王道平1;黄哲学1;,"北京科技大学经济管理学院,北京科技大学经济管理学院,香港大学电子商务科技研究所 北京100083,北京100083,香港",2008
基于粗糙集理论的物流时间-质量-成本效益背反管理方法研究,吴洁;彭其渊;,西南交通大学经济管理学院;西南交通大学交通运输学院;,2008
基于BP神经网络模型的我国人口总量预测研究——源自人口增长与经济增长间复杂关系的视角,丁刚;,福州大学公共管理学院;,2008
粗糙集理论及其内在意义初探,赵佩华;张卫国;,汕头大学商学院;华南理工大学;华南理工大学工商管理学院;,2008
FCM-SVM组合方法在不平衡信息识别中的应用,刘丙泉;梁静国;,哈尔滨工程大学经济管理学院;,2008
基于垂直搜索引擎的个性化信息服务探索,钟辉新;,电子科技大学中山学院 中山528402,2008
会计年报信息在股价运动趋势预测中的应用———基于支持向量机(SVM)的实证检验,黄梅;唐德祥;邓成超;," 重庆市女劳教所,重庆工学院经济与贸易学院,重庆工学院教务处,",2008
海岸带生态经济耦合系统可持续发展研究,岳明;李敏强;,"天津大学管理学院,天津大学管理学院 天津300072,天津300072",2008
基于机器学习的网页文本抽取技术,程娟;," 江汉大学文理学院图书馆,",2008
基于用户信息检索相关性反馈模型的研究,程娟1;,江汉大学文理学院图书馆 武汉430056,2008
污水处理厂机器学习综合评价,张维;杨旭才;陆晓春;史道济;,"天津大学管理学院,天津大学管理学院,天津大学管理学院,天津大学理学院 天津300072,天津300072,天津300072,天津300072",2008
从ACE会议看信息抽取技术的发展趋势,赵琦;刘建华;冯浩然;,"中国科学院国家科学图书馆,中国科学院国家科学图书馆,中国科学院国家科学图书馆成都分馆 北京100190,中国科学院研究生院北京100049,北京100190,中国科学院研究生院北京100049,成都610041,中国科学院研究生院北京100049",2008
基于字位信息的中文分词方法研究,张金柱;张东;王惠临;,中国科学技术信息研究所;,2008
一种基于k-means聚类技术的快速选择性Bagging Trees集成算法研究,陈凯;温慧博;,中国人民大学统计学院;中国工商银行北京分行;,2008
基于统计学习理论的信息安全风险管理,杨莉;赵莉;曹扬;,山东大学经济研究中心;山东建筑大学商学院;山东大学管理学院;,2008
条件随机场标引模型的性能影响因素分析,章成敏;许鑫;章成志;,南京大学信息管理系;华东师范大学信息学系;南京理工大学信息管理系;,2008
基于RBFN与SVR比较的信息评价研究,刘怀亮;张治国;马志辉;董萍;许君宁;,西安电子科技大学经济管理学院;,2008
当前知识抽取的主要技术方法解析,张智雄;吴振新;刘建华1;徐健;洪娜;赵琦1;,中国科学院国家科学图书馆;中国科学院研究生院;中山大学资讯管理系;,2008
实体关系抽取的技术方法综述,徐健;张智雄;吴振新;,中国科学院国家科学图书馆;中国科学院研究生院;中山大学资讯管理系;,2008
