题目T1,作者A1,地址AD,年份YR
利用大数据分析法提高图书馆读者决策采购(PDA)效能探析,杨丹丹;,辽宁省图书馆;,2015
基于OPAC日志用户行为分析的图书采购新方法,侯志江;侯玲娟;,天津理工大学图书馆;天津师范大学管理学院;,2015
云计算环境下科学工作流中的数据管理研究,魏银珍;邓仲华;,武汉大学信息管理学院;,2015
基于大数据的互联网融资平台信用评级,肖肖;骆建文;,上海交通大学安泰经济与管理学院;,2015
供应链金融服务创新,姜超峰;,中国物资储运协会;中国物流学会;中物联物流园区专委会专家委员会;,2015
试析大数据时代的税收管理,刘磊;钟山;,国家税务总局大企业税收管理司;,2015
大数据时代税收微观数据体系的构建,谢波峰;,中国人民大学中国财政金融政策研究中心;,2015
大数据——构建现代税收征管体系的推进器,孙开;沈昱池;,东北财经大学财政税务学院;,2015
中国金融管理变革与金融专硕培养新实践——“首届(2014)金融管理年会暨金融专硕培养高峰论坛”会议综述,张震;,上海师范大学商学院;,2015
大数据时代中国面临的挑战与对策,许晔;,中国科学技术发展战略研究院;,2015
旅游产业与生态文明城市耦合关系及协调发展研究,舒小林;高应蓓;张元霞;杨春宇;,中央财经大学经济学院;贵州财经大学旅游管理学院;贵州旅游经济与管理研究院;,2015
2014年国产电影大数据分析,范志忠;唐朱勇;,浙江大学国际影视发展研究院;,2015
2014年国产电视剧大数据分析,赵瑜;,浙江大学传媒与国际文化学院;,2015
大数据思维影响下的电影美学新趋向——以大数据为特征的叙事结构,田亦洲;,中国传媒大学艺术研究院;,2015
电影大数据关键技术与发展策略,刘达;方捷新;,中国电影科学技术研究所;,2015
大数据时代我国意识形态安全探析,王超;,南开大学马克思主义教育学院;,2015
大数据时代政府数据管理的机遇、挑战与对策,于浩;,中共太原市委党校;,2015
大数据在应急管理中的应用,马奔;毛庆铎;,山东大学政治学与公共管理学院;,2015
试论大数据时代的版权保护——以《今日头条》版权纠纷案为例,卢海君;张雨潇;,对外经济贸易大学法学院;,2015
大数据在社会舆情监测与决策制定中的应用研究,蔡立辉;杨欣翥;,暨南大学公共管理学院应急管理研究中心;兰州交通大学机电工程学院;,2015
大数据时代政府对个人信息的保护问题,胡忠惠;,山东工商学院;,2015
大数据治理:国家治理能力现代化的应有之义,梁芷铭;,钦州学院法律与公共管理学院;,2015
加拿大联邦政府开放数据分析及其对我国的启示,周文泓;,中国人民大学信息资源管理学院;,2015
“数据治国”的三个关键理念——从互联网思维到未来治理图景,杜小勇;冯启娜;,中国人民大学信息学院;中国人民大学中国调查与数据中心;,2015
政府大数据战略:政府治理实现的强力助推器,高华丽;闫建;,重庆大学经济与工商管理学院;重庆行政学院公共管理学教研部;,2015
现代国家治理的云端思维——信息治理能力与政府转型的多重挑战,安小米;,中国人民大学信息资源管理学院;,2015
大数据政治学:新信息时代的政治现象及其探析路径,孟天广;郭凤林;,清华大学政治学系;北京大学政府管理学院;,2015
大数据与宏观经济分析研究综述,刘涛雄;徐晓飞;,清华大学经济学研究所;,2015
大数据时代高校数字档案资源管理研究,石峻峰;周俐霞;樊泽恒;王丽萍1;,南京航空航天大学档案馆;,2015
大数据时代高校人才队伍建设思考与探索,李晓东;,河海大学人事处;,2015
大数据视域下高校教学管理信息系统建设研究——以西南科技大学教学管理信息化建设为例,郑祥江;殷明均;,西南科技大学教务处;,2015
社会化媒体:媒介融合的深层影响力量,彭兰;,中国人民大学新闻学院;,2015
大数据时代传统相关分析的局限与拓展,程鑫;石洪波;,山西财经大学统计学院;山西财经大学信息管理学院;,2015
大数据时代统计教育变革的SWOT分析与发展策略,葛虹;韩伟一;,哈尔滨工业大学经济与管理学院;,2015
TALIS:一种教师专业发展水平的测量框架——基于2013年国际性教与学的大数据调查,殷玉新;,华东师范大学课程与教学研究所;,2015
必要与如何:基于历史资料的量化数据库构建与分析  以大学生学籍卡片资料为中心的讨论,梁晨;董浩;,南京大学中华民国史研究中心;香港科技大学社会科学部;,2015
农业现代化背景下大数据分析在农业经济中的应用研究,戴小文;漆雁斌;陈文宽;,四川农业大学经济管理学院;四川农业大学四川省农村发展研究中心;,2015
大数据时代编辑的信息获取能力初探,胥橙庭;孙松茜;张彤;张蓓;,《南京航空航天大学学报》编辑部;东南大学出版社;,2015
大数据时代一种基于用户行为分析的图书馆个性化智慧服务模式,陈臣;,兰州商学院信息中心;,2015
大数据时代基于在线评论挖掘的企业网络口碑危机预警研究,李金海;何有世;马云蕾;李烁朋;李治文;,江苏大学管理学院;江苏大学理学院;中船重工第七〇四研究所;,2015
大数据环境下舆情分析与决策支持研究文献综述,夏火松;甄化春;,武汉纺织大学管理学院;,2015
大数据环境下高校图书馆非结构化数据融合分析,郭春霞;,滨州学院图书馆;,2015
基于科学计量学的国际大数据研究可视化分析,王炳立;,河南教育学院图书馆;,2015
基于大数据的图书馆个性化服务用户行为分析研究,陈臣;,兰州商学院信息中心;,2015
突发事件驱动的应急决策知识库结构研究,蒋勋;苏新宁;刘喜文;,无锡城市职业技术学院电子信息工程系;南京大学信息管理学院;江苏省数据工程与知识服务重点实验室(南京大学);,2015
基于四螺旋模型的高校图书馆科研数据知识服务风险管理研究,王静;都平平;郭太敏;周华;,中国矿业大学图书馆;,2015
大数据背景下数据科学分析工具现状及发展趋势,杨京;王效岳;白如江;祝娜;,山东理工大学科技信息研究所;,2015
大数据时代网络舆情信息集成机制研究,刘继;李磊;,新疆财经大学统计与信息学院;新疆财经大学社会经济统计研究中心;,2015
大数据时代下历史类图书市场走向分析及策划建议,张潜;唐莉;,南京大学文学院;华龄出版社;,2015
大数据食物链、信息聚类系统、定制解决方案——汤森路透商业模式比较分析,李慧娟;,中国人民大学新闻学院;,2015
出版生产、学术研究与出版业评价的“反转模式”——试论大数据时代出版业的新演变,张月萍;,临沂大学传播学研究中心;南京大学信息管理学院;,2015
档案大数据研究热的冷思考,于英香;,上海大学图书情报档案系;,2015
担保风险的大数据分析,陈道富;刘新海;,国务院发展研究中心金融研究所;人民银行征信中心;,2015
基于共现聚类分析的西藏入境旅游热点研究,李娟;褚玉杰;赵振斌;王蕾蕾;,陕西师范大学旅游与环境学院;,2015
大数据、互联网金融与信用资本:破解小微企业融资悖论,黄子健;王龑;,新疆财经大学金融学院;,2015
大数据环境下客户购买行为预测,杜刚;黄震宇;,华东师范大学商学院;,2015
基于大数据技术的公共危机预测研究,康红霄;王爱冬;,燕山大学文法学院;,2015
以“教学基本状态数据”为据——《大数据时代》对第二次本科教学评估的启示与警示,赵伶俐;,西南大学教育学部;,2015
大数据视角下医疗行业发展的新思维,陈惠芳;徐卫国;,上海交通大学安泰经济与管理学院;,2015
数目化管理与大数据时代,陈建华;,NA,2015
大数据背景下影视产业创新发展,吴卫华;,湖州师范学院传播系;,2015
大数据时代的国家治理形态创新及其趋向分析,章伟;曾峻;,上海交通大学;上海行政学院;,2015
隐私权之公私法整合保护探索——以“大数据时代”个人信息隐私为分析视点,王学辉;赵昕;,西南政法大学行政法学院;,2015
对大数据支持的学习分析与评价的需求调查——基于教师的视角,郑燕林;李卢一;,东北师范大学;,2015
教育虚拟社区:教育大数据的必然回归,张洪孟;胡凡刚;,曲阜师范大学传媒学院;,2015
学习分析:从源起到实践与研究,吴青;罗儒国;,武汉大学教育科学学院;,2015
大数据时代的统计教育,孟生旺;袁卫;,中国人民大学统计学院;中国人民大学应用统计科学研究中心;中国人民大学中国调查与数据中心;,2015
大数据环境下信息管理专业人才培养模式分析与构建,王锰;左建安;陈雅;,南京大学信息管理学院;,2015
大数据挖掘的均匀抽样设计及数值分析,李毅;米子川;,山西财经大学统计学院;,2015
大数据视角下的学习分析综述,王良周;于卫红;,大连海事大学交通运输管理学院;,2015
大数据领域演进路径、研究热点与前沿的可视化分析,何晓萍;黄龙;,南昌大学图书馆;,2015
在线评论有用性影响因素实证研究——基于Tripadvisor.com酒店评论数据,卓四清;冯永洲;,武汉大学经济与管理学院;,2015
学习分析技术:大数据背景下高校图书馆服务的优化,杨景光;,郧阳师范高等专科学校图书馆;,2015
大数据研究的知识图谱分析,詹川;,重庆工商大学电子商务系;,2015
大数据时代信息分析的关键问题、挑战与对策,官思发;朝乐门;,中国人民大学信息资源管理学院;数据工程与知识工程教育部重点实验室;,2015
计算机辅助信息分析的技术框架及其发展趋势,熊志正;官思发;朝乐门;,中国人民大学信息资源管理学院;数据工程与知识工程教育部重点实验室;,2015
大数据时代的企业信息情报战略,曾忠禄;,澳门理工学院;,2015
大数据环境下的多源融合型竞争情报研究,化柏林;李广建;,北京大学信息管理系;,2015
基于组织-流程-信息的突发事件情报分析框架构建,徐绪堪;钟宇翀;魏建香;吴恺;苏新宁;,河海大学企业管理学院信息管理系;南京大学信息管理学院;数据工程与知识服务江苏省高校重点实验室;南京邮电大学物联网学院;,2015
情报视角下的城市智慧应急研究——兼谈熵理论的引入,李纲;李阳;,武汉大学信息资源研究中心;,2015
基于小数据决策支持的图书馆个性化服务,陈臣;,兰州商学院信息中心;,2015
“大数据”时代档案信息安全管理新思考,崔海莉;,上海师范大学档案馆;,2015
信联网商务信用体系建设,张云起;孙军锋;王毅;耿勇;张雷;,中央财经大学商学院;中国互联网商务金融研究院;,2015
从大数据视角反思信贷管理,谢晓雪;,中国建设银行信贷管理部;,2015
社会大数据信息下农户信用借款声誉计算模型与应用,庞素琳;王石玉;,暨南大学公共管理学院/应急管理学院/金融工程研究所;广东省公共网络安全风险评价与预警应急技术研究中心;,2015
以质量为导向的科技人才评价发现机制研究,彭珍;贺德方;彭洁;赵伟;,中国科学技术信息研究所;,2015
大数据驱动下顾客参与的产品开发方法研究,陈以増;王斌达;,上海大学管理学院;,2015
大数据信息采集及其偏差补救方法——以甜党和咸党的口味地盘之争为例,苏毓淞;姚雨凌;,清华大学政治学系;清华大学理学院数学科学系;,2015
物流企业跨界制胜之道,李云华;董千里;,长安大学;,2015
航运大数据管理及其在公共服务领域的应用,李启雷;,浙江大学软件学院;,2015
带状发展:“十三五”中国文化产业发展新趋势,范建华;,云南省社科联;,2015
论大数据时代的心理学研究变革,朱廷劭;汪静莹;赵楠;刘晓倩;,中国科学院心理研究所行为科学重点实验室;中国科学院计算技术研究所智能信息处理重点实验室;,2015
大数据时代的古典文学研究——以数据分析、数据挖掘与图像检索为中心,刘京臣;,中国社会科学院文学研究所;,2015
基于大数据的智慧公共决策特征研究,胡税根;单立栋;徐靖芮;,浙江大学公共管理学院;,2015
基于大数据时代的政府危机信息管理研究,熊枫;,广东财经大学公共管理学院;,2015
大数据背景下新闻思维方式的转型,陈雪奇;王彬洁;,四川大学;,2015
大数据外交:一场即将到来的外交革命?,董青岭;,对外经济贸易大学国际关系学院;,2015
反恐行动情报分析系统大数据障碍及其改进,万向阳;,湖北警官学院;,2015
网络空间的政治互动:公民诉求与政府回应性——基于全国性网络问政平台的大数据分析,孟天广;李锋;,清华大学政治学系;北京大学政府管理学院;,2015
大数据:让情报主导警务成为现实,彭知辉;,中国人民公安大学反恐怖学院;,2015
大数据时代数据共享与知识产权保护的冲突与协调,邓灵斌;余玲;,南华大学经济管理学院信息管理系;南华大学经济管理学院;,2015
大数据灾害预测与警情流转机制,勇素华;杨传民;陈芳;,南京信息工程大学马克思主义学院;南京信息工程大学中意网络侵权研究所;南京信息工程大学公共管理学院;,2015
大数据技术何以创新公共治理?——新加坡智慧国案例研究,马亮;,南洋理工大学南洋公共管理研究生院;,2015
适应大数据时代的美国统计学大学教育（上）,李政;赵彦云;,中国人民大学统计学院;,2015
开放大学混合式教学新内涵探究——基于SPOC的启示,吕静静;,浙江广播电视大学财经教研部;,2015
大数据对思想政治教育方法论的变革,黄欣荣;,江西财经大学马克思主义学院;,2015
大数据背景下江苏有线电视收视率预测,邢亚彬;史兹国;,河海大学商学院;南京晓庄学院经济与管理学院;,2015
大数据中的百年社会学——基于百万书籍的文化影响力研究,陈云松;,南京大学社会学系;,2015
大数据时代下的地方高校教育智库建设研究,王海艳;曹丽英;邵喜武;,吉林农业大学高等教育研究所;吉林农业大学信息技术学院;吉林农业大学经济管理学院;,2015
大数据时代我国新常态经济增长中技术创新的路径转型,茹少峰;李祥丽;杜建丽;,西北大学经济管理学院;西安石油大学理学院;,2015
基于大数据的物联网产业协同创新平台研究,王艳;纪志成;,江南大学;,2015
大数据分析研究现状、问题与对策,官思发;孟玺;李宗洁;刘扬1;,中国人民大学信息资源管理学院;中国人民公安大学反恐学院;对外经济贸易大学国际商学院;中国人民大学图书馆;,2015
大数据时代图书馆生态危机研究,彭羽佳;潘杏仙;,安徽师范大学图书馆;,2015
图书馆大数据可视化分析系统的设计与实现,马晓亭;,兰州商学院信息工程学院;,2015
大数据知识服务关键要素与实现模型研究,官思发;,中国人民大学信息资源管理学院;,2015
大数据语境下情报学的坚守与拓展,韩毅;李红;,西南大学计算机与信息科学学院;,2015
图书馆视角下的大数据资源共建共享,陈祖琴;蒋勋;苏新宁;,南京大学信息管理学院;江苏省数据工程与知识服务重点实验室;,2015
基于大数据驱动的特色资源服务平台建设,荣翠琴;张勇;都静;,成都航空职业技术学院图书馆;,2015
刍议大数据给财会行业带来的机遇与挑战,于芳菲;,中国烟草总公司;,2015
暗数据对图书馆应用大数据的影响分析,崔小宜;,西北政法大学行政法学院;,2015
图书馆如何开展学科竞争力评价——由《英国科研表现之国际比较》报告得到的启示,李峰;,北京大学图书馆;,2015
大数据在区域品牌营销中的应用研究,雷亮;彭真;李鸿;,兰州大学管理学院;,2015
大数据变革背景下的顾客网络满意度比较——基于OLAP可视化技术应用视角,王宗水;赵红;,中国科学院大学管理学院;,2015
大数据背景下客户信息质量管理成熟度模型,谢刚;冯缨;李治文;,江苏大学管理学院;,2015
"观计量经济学的局限性,望大数据背景下的计量经济学",冯鹏程;,中南财经政法大学经济学院;,2015
大数据中的管理问题:基于大数据的资源观,杨善林;周开乐;,合肥工业大学管理学院过程优化与智能决策教育部重点实验室;,2015
互联网金融背景下商业银行“大数据”战略研究——基于互联网金融在商业银行转型升级中的运用,陆岷峰;虞鹏飞;,江苏银行总行;南京财经大学金融学院;,2015
大数据时代零售业统计的变革,李宝仁;郑汉良;王莹;,北京工商大学经济学院;,2015
大数据思维在金融学研究中的运用,蔡庆丰;郭春松;陈诣之;,厦门大学经济学院;厦门大学两岸关系和平发展协同创新中心;中国银监会福建监管局;,2015
企业互联网时代的管理会计,王兴山;,浪潮集团;,2015
网络化体系能力评估问题,胡晓峰;张昱;李仁见;杨镜宇;,国防大学信息作战与指挥训练教研部;,2015
大数据背景下科技服务业发展策略研究,吴标兵;许为民;许和隆;张宇;,南京邮电大学物联网产业发展研究基地;浙江大学STS中心;,2015
大数据时代统计学重构研究中的几个热点问题,田茂再;,教育部人文社会科学重点研究基地中国人民大学应用统计研究中心;中国人民大学;,2015
大数据时代电子商务征纳税面临的挑战与应对,王婷婷;侯欢;,西南政法大学经济法学院;,2015
“大数据”热潮下人文地理学研究的再思考,甄峰;王波;,南京大学建筑与城市规划学院;南京大学人文地理研究中心;香港大学地理系;,2015
大数据与生态史:中国灾害史料整理与数据库建设,夏明方;,中国人民大学清史研究所;,2015
“大数据”对城市规划的影响:观察与展望,宋小冬;丁亮;钮心毅;,同济大学建筑与城市规划学院;,2015
基于大数据倒排索引技术的外语写作教学辅助系统研究与实现,李峰;卫乃兴;,北京航空航天大学计算机学院智能信息处理研究所;中国人民解放军后勤科学研究所;北京航空航天大学外国语学院;,2015
大数据时代中美关系发展的机遇与挑战,李文;邓淑娜;,中国社会科学院亚太与全球战略研究院;中国社会科学院研究生院亚太系;,2015
大数据背景下的国家治理能力建设研究,郭建锦;郭建平;,复旦大学马克思主义学院;山西农业大学组织部;,2015
大数据时代定向广告中的个人信息保护——《中国互联网定向广告用户信息保护行业框架标准》分析,杨秀;,重庆大学新闻学院;重庆大学法学博士后流动站;,2015
适应大数据时代的美国统计学大学教育(下),李政;赵彦云;,中国人民大学;,2015
大数据理念下的发展性学习评价系统设计研究,李振超;陈琳;郑旭东;,江苏师范大学教育研究院;,2015
基于大数据背景的高职院校专业设置机制创新探究,吴叶林;崔延强;,西南大学教育学部;西南大学;,2015
大数据时代对税务工作的挑战与对策,孙懿;,中央财经大学财政学院;,2015
大数据时代提升教师数据智慧研究,王萍;,华南师范大学文学院;,2015
大数据时代网络教育学习成绩预测的研究与实现——以本科公共课程统考英语为例,孙力;程玉霞;,江南大学人文学院;,2015
大数据时代个人数据交易许可机制研究,王忠;,北京市社会科学院经济所;,2015
大数据时代人文社科成果评价变革探析,蒋玲;杨红艳;,中国人民大学图书馆;中国人民大学人文社会科学学术成果评价研究中心;中国人民大学书报资料中心;,2015
大数据时代与幸福研究,马妮;,吉林大学哲学社会学院;,2015
新计算社会学:大数据时代的社会学研究,罗玮;罗教讲;,武汉大学社会学系;,2015
对大数据统计设计的思考,赵彦云;,中国人民大学应用统计科学研究中心;中国人民大学统计学院;中国统计学会;中国统计教育学会;,2015
大数据在高校思想政治教育工作中的运用,逄索;魏星;,华东理工大学化学与分子工程学院;华东理工大学学工部;,2015
大数据时代高校图书馆信息资源管理的创新与发展,张颖;,华中师范大学图书馆;,2015
大数据经济学的概念、框架与学科定位研究,俞立平;,宁波大学商学院;,2015
金融大数据中的并行查询,李湛;,北京大学深圳研究生院信息工程学院;,2015
大数据推动的管理规范变革,徐娟;,湖南现代物流职业技术学院;,2015
社交媒体环境下采访馆员角色的转型,侯爱花;,安阳师范学院图书馆;,2015
大数据背景下信息生命周期理论的再思考,杜彦峰;相丽玲;李文龙;,山西财经大学图书馆;山西大学经济与管理学院;,2015
探析大数据时代收视率调查体系的创新与优化,汤天甜;汪红春;,重庆大学新闻学院;,2015
竞争企业核心战略要素情报动态分析,徐颖;李鑫;张珊;,吉林大学管理学院;,2015
创新与变革：大数据时代的内容生产与营销,胡慧源;,华东政法大学人文学院;,2015
大数据背景下现代广告的重构及发展逻辑,赵立敏;,衡阳师范学院新闻与传播学院;中国人民大学新闻学院;,2015
大数据分析:出版业转型升级的新助力,刘茂林;张小强;,重庆大学出版社有限公司;重庆大学新闻学院;,2015
大数据分析与畅销书选题的精准策划,闫伟华;,内蒙古大学文学与新闻传播学院;,2015
基于大数据的企业财务预警研究,宋彪;朱建明;李煦;,中央财经大学信息学院;内蒙财经大学;香港大学经济及工商管理学院会计系;,2015
用大数据提高风险管理能力,易会满;,中国工商银行;,2015
农产品智能供应链体系构建研究,杜永红;,西京学院经济贸易系;,2015
中国景区网络形象指数研究——基于互联网内容分析方法,沈体雁;黄宁;彭长江;徐海涛;,北京大学政府管理学院;中国地质大学(北京)土地科学技术学院;北京富国图景科技有限公司;,2015
全球旅游研究格局的综合分析(2003—2012),朴志娜;吴必虎;Alastair M.MORRISON;沈晔;李梦姣;,北京大学城市与环境学院旅游研究与规划中心;美国普渡大学酒店与旅游管理学院;,2015
大数据背景下零售经营要素变革研究,张莉艳;齐永智;,山西财经大学工商管理学院;首都经济贸易大学工商管理学院;,2015
网络购物小数定律在大数据和EWA学习模型下的修正,龚谊承;徐一娉;,武汉科技大学理学院;武汉科技大学冶金工业过程系统科学湖北省重点实验室;,2015
审计如何破解政策落实结构性困境——基于三个支农政策项目资金审计案例的分析,陈平泽;方宝璋;,中国矿业大学(北京)管理学院;江西财经大学会计学院;,2015
大数据时代中小企业信用评价指标体系重构,孙玥璠;杨超;张梦实;,北京工商大学商学院;,2015
网购行为执行意向的结构探究,赵杨;王林;,东北大学秦皇岛分校经管实验中心;东北大学工商管理学院;,2015
我国智慧云社区公共信息平台构架与应用功能研究,张燕;余庆泽;,广州商学院经济系;广州商学院企业发展研究中心;,2015
大数据对企业管理决策影响研究,李忠顺;周丽云;谢卫红;成明慧;董延峰;蒋峦;,广东工业大学管理学院;中国移动通信集团广东有限公司深圳分公司;华南师范大学经济与管理学院;,2015
基于概念置换的大数据定义研究,李天柱;王圣慧;马佳;,辽宁科技大学工商管理学院;,2015
大数据时代高校科研管理创新研究,杨维荣;,南京邮电大学科技处;,2015
两百亿背后:中国电影产业的经济学分析,周筱蕊;,四川大学商学院;,2015
大数据的传播学意义——基于媒介场理论的分析,吴维忆;,上海交通大学;,2015
大数据时代网络抗争治理——基于江苏启东事件的个案研究,刘淑华;,复旦大学国际关系与公共事务学院公共行政系;,2015
作为提升国家治理效能的“大数据×”,陈潭;,广州大学公共管理学院;,2015
大数据技术与智慧城市建设——基于技术与管理的双重视角,李传军;,中国人民大学;,2015
发达国家开放政府数据战略的比较分析,才世杰;夏义堃;,武汉大学信息资源研究中心;,2015
数据开放平台建设策略研究——以武汉市政府数据开放平台建设为例,陈涛;李明阳;,华中科技大学公共管理学院;,2015
大数据在美国教育评价中的应用路径分析,郑燕林;柳海民;,东北师范大学计算机科学与信息技术学院;东北师范大学教育学部;,2015
大数据时代的教育管理模式变革刍议,郑立海;,四川师范大学教师培训学院;,2015
大数据时代班级管理平台的开发与应用研究,曾令华;胥经华;,于都县天润实验学校;赣州市电化教育馆;,2015
一对一数字化互动反馈智能课堂学习环境研究,王伟东;金义富;,岭南师范学院广东高校数字化学习工程技术开发中心信息与教育技术中心;岭南师范学院教育技术研究所;,2015
第四次教育革命视域中的智慧教育生态构建,钟晓流;宋述强;胡敏;杨现民;李海霞;,清华大学信息化技术中心;南昌工程学院;江苏师范大学教育研究院;,2015
新建本科院校科学研究的量化分析与基本动态——基于中国知网21万余篇学术论文的数据分析,姚望;,浙江传媒学院社会科学教学部;,2015
论“互联网+”时代大数据背景下的传统教材出版业变革,陈小平;高建;,高等教育出版社;,2015
理论经济物理学——推荐一个正在发展中的新领域,何祚庥;,中国科学院理论物理研究所;,2015
传媒业大数据应用误区与应用策略分析,袁文丽;贡嘉阳;,山西大学文学院;,2015
教育大数据背景下学分银行信息管理平台设计理念与技术架构研究,余燕芳;,浙江广播电视大学开放与远程教育研究院;,2015
大数据背景下教师数据素养的内涵、价值与发展路径,张进良;李保臻;,湖南科技大学农村教育改革与发展研究基地;西北师范大学教育学院;,2015
运用大数据创新高校思想政治工作初探,谢继华;法鸿洁;黄飞凯;,电子科技大学马克思主义教育学院;电子科技大学政治与公共管理学院;电子科技大学教育大数据研究中心;,2015
数据新闻的理论与实践:模式、发现与思考,任瑞娟;白贵;,河北大学新闻传播学院;,2015
“大数据”的考量——以中国上市出版企业为例,刘军;李金山;刘红;,对外经济贸易大学出版社;北京林业大学理学院;,2015
基于云计算的大数据挖掘内涵及解决方案研究,邓仲华;刘伟伟;陆颖隽;,武汉大学信息管理学院;,2015
大数据信息安全风险框架及应对策略研究,黄国彬;郑琳;,北京师范大学政府管理学院信息管理系;,2015
大数据时代供应链信息聚合价值及其价值创造能力形成机理,陈永平;蒋宁;,安徽财经大学工商管理学院;,2015
图书馆大数据功能实现的障碍与对策研究,王玉林;曾咏梅;,安徽科技学院图书馆;四川农业大学图书馆;,2015
大数据环境下中小企业竞争情报系统模型构建,王洪亮;张琪;朱延涛;,河海大学商学院;河海大学水利水电学院;,2015
数字资源元数据质量管理的研究与探索,程颖;,武汉大学图书馆;,2015
大数据环境下车联网信息服务平台构建研究,孙笑宇;张向先;赵彬;,吉林大学管理学院;,2015
大数据研究的文献计量分析,杨瑞仙;,郑州大学信息管理学院;,2015
我国图书情报领域大数据研究热点分析,王春华;李维;文庭孝;,中国科学院大学;中国科学院成都文献情报中心;湘潭大学公共管理学院;中南大学;,2015
图书馆个性化服务中的大数据可视化分析与应用研究,杨利军;高军;,兰州商学院外语学院;兰州商学院信息中心;,2015
大数据时代企业竞争情报运行保障机制建设研究,马林山;赵庆峰;,合肥学院图书馆;山东科技大学信息科学与工程学院;,2015
大数据时代充分利用出版数据服务全程营销,任刚;张超;孙彦涛;,人民卫生出版社有限公司;,2015
欧美大众出版商的大数据应用策略及其启示,刘银娣;,华南理工大学新闻与传播学院;,2015
数字图书馆大数据知识服务体系协同设计研究,张兴旺;李晨晖;,桂林理工大学图书馆;中山大学资讯管理学院;桂林理工大学现代教育技术中心;,2015
大数据视野下档案管理思维方式的转变,宋淑琴;,湖南省档案局(馆)编研展览部;,2015
大城市中心区停车收费管理问题研究——基于重庆城市中心区域停车问题的大数据分析,戴志颖;,重庆行政学院;,2015
大数据时代快递企业竞争力研究-基于粗糙集理论,杨静;张燕1;陈涛1;,三江学院商学院;南京大学工程管理学院;,2015
