题目T1,作者A1,地址AD,年份YR
基于小世界现象的学科信息门户链接设计优化策略,肖雪;,南开大学商学院信息资源管理系;,2011
基于本体与Web挖掘的企业网上信任危机预防模型研究,谭春辉;王晓;,华中师范大学信息管理系;,2011
我国数据挖掘研究现状分析——基于共词分析视角,张玉峰1;郭会雨;陈建青;,中国科学技术信息研究所;解放军医学图书馆;,2011
信息分析研究领域的里程碑──《信息分析丛书》述评,宋力品;,河北师范大学图书馆;,2011
基于领域本体的竞争情报聚类分析研究,张玉峰2;何超;,武汉大学信息资源研究中心;,2011
提高个性化推荐精度的定制Web日志方法,苏玉召;牛晓太;赵妍;,中科院国家科学图书馆;郑州航空工业管理学院;,2011
人民币汇率波动的数据挖掘分析,许冠明;王斌会;,暨南大学经济学院;,2011
金融高频数据挖掘研究评述与展望,朱建平;魏瑾;谢邦昌;,厦门大学经济学院;台湾辅仁大学统计资讯学系;,2011
基于关联规则挖掘的食品安全信息预警模型,顾小林;张大为;张可;浦徐进;曹文彬;,河海大学;江南大学;辽宁师范大学;重庆大学;,2011
一种加权的MCLP分类模型及其在不平衡数据集上的应用,朱梅红;,首都经济贸易大学统计学院;,2011
遗传支持向量机及其在人民币汇率变动方向预测中的应用,徐成贤;陈静1;王昭;,杭州师范大学国际服务工程学院;西安交通大学经济与金融学院;西安交通大学理学院;,2011
基于序列模型的银行个人客户交叉销售研究,李纯青;李雪萍;田敏;赵琦元;,西安工业大学经济管理学院;,2011
基于信息数据库的美国院校研究:进程、现状与问题,张晓冬;,华中科技大学教育科学研究院;三峡大学;,2011
厦门市体育公共服务数据挖掘及量化分析,何元春;谢黎红;徐卫华;李腾飞;刘祺;,厦门大学体育部;江西师范大学体育学院;厦门市体育局;厦门大学公共事务学院;,2011
Web环境下产品评论挖掘在企业竞争情报中的应用,施国良;程楠楠;,河海大学商学院;,2011
数据挖掘在OPAC中的发展应用分析,马骅;,南京大学图书馆;,2011
图书馆关联数据的综合管理及其实现,孙鸿燕;,山东潍坊工程学院图书馆;,2011
乙肝专题文献知识库的创新构建,张永娟;张珅;陈成材;孙继林;赵衍;陈恒;,中国科学院上海生命科学信息中心;上海外国语大学;,2011
基于数据挖掘的我国地方政府绩效评估指标设计——面向江苏四市的探索性研究,尚虎平;,兰州大学管理学院;,2011
知识传播中的知识安全模型及其技术策略,温丹丹;杨岚;张建华;,郑州大学管理工程系;郑州大学机械工程学院;,2011
基于信息粒化和支持向量机的股票价格预测,喻胜华;肖雨峰;,湖南大学经济与贸易学院;中南大学数学科学与计算技术学院;,2011
基于关联规则的图书馆读者聚类算法研究,张海营;,襄樊学院图书馆;,2011
基于K-means算法的Web访问用户关联规则挖掘算法,肖强;钱晓东;,兰州交通大学经济管理学院;兰州交通大学研究生学院;,2011
基于数据挖掘的专利数据预处理系统的设计与实现,赵蕴华;张静;,中国科学技术信息研究所;,2011
基于聚类分析的读者阅读倾向研究,吴志强;,西南交通大学图书馆;,2011
数字图书馆中的智能推荐技术研究,王正勤;牛永芹;颜莉莉;,安徽商贸职业技术学院电子信息工程系;安徽商贸职业技术学院会计系;,2011
财务危机预警的SVMs模型研究——基于我国制造业上市公司经验数据,梁小红;,福建商业高等专科学校会计系;,2011
一种提高过滤用户偏好精度的数据采集方法,赵妍1;苏玉召1;管涛;,郑州航空工业管理学院计算机科学与应用系;中国科学院国家科学图书馆;中国科学院研究生院;,2011
基于协同过滤算法的高校图书馆图书推荐系统研究,董坤;,中南民族大学图书馆;,2011
“十一五”期间我国文献情报领域知识发现研究综述,高新陵;王正兴;,河海大学图书馆;淮海工学院图书馆;,2011
多维多息特征数据挖掘方法研究——以中药指纹图谱数据为例,童逸夫;黄春毅;,四川大学公共管理学院;,2011
近几年图书情报领域新技术应用研究的主题分析,王方平;,长春大学图书馆;,2011
数据驱动还是管理驱动,戴宏;,交通银行风险管理部;,2011
引入六西格玛管理:高校质量管理的移植创新,周玉容;,华中科技大学教育科学研究院;,2011
基于磨耗数据驱动模型的轮对镟修策略优化和剩余寿命预报,王凌;员华;那文波;陈锡爱;李运堂;,中国计量学院机电工程分院;广州市地下铁道总公司;,2011
教育信息系统分析设计的研究与实践——以DDEDSS系统为例,黄景碧;祝智庭;,华东师范大学教育信息技术学系;华东师范大学教育信息化系统工程研究中心;,2011
新一代数字图书馆应用支撑平台的研究与开发,张勇;朝乐门;邢春晓;张铭;王文清;张健;,清华大学信息技术研究院;北京大学信息科学技术学院;北京大学CALIS管理中心;,2011
中国对外政策舆论研究现状的思考,张传杰;,清华大学国际关系学系;清华—卡内基全球政策研究中心;,2011
浅谈图书馆管理系统的发展趋势,魏群义;彭晓东;,重庆大学图书馆;,2011
建立数据驱动的e-Science图书馆服务:机遇和挑战,王学勤;Amy Stout;Howard Silver;,中国科学院国家科学图书馆;美国麻省理工学院图书馆;,2011
智能检索环境下的索引编制,王知津;王丽娜;胡玲玲;,南开大学商学院信息资源管理系;,2011
基于模糊神经网络分类算法的绩效考核评聘策略研究,王彤;丁雷;,天津大学;天津商业大学;,2011
基于支持向量机的供应链金融信用风险评估研究,胡海青;张琅;张道宏;陈亮;,西安理工大学经济与管理学院;中国建设银行陕西分行;,2011
影响RFA高尔夫产业发展的因素分析与对策,段永桓;王洪礼;李飞鹏;,天津大学管理与经济学部;天津大学建筑设计规划研究总院;,2011
基于SVM神经网络的高校科研能力评价模型构建,徐恺英;常改;邢天亮;,吉林大学管理学院;吉林大学信息资源研究中心;吉林大学通信工程学院;,2011
基于字序列标注的中文关键词抽取研究,王昊;邓三鸿;苏新宁;,南京大学信息管理系;,2011
