题目T1,作者A1,地址AD,年份YR
基于CiteSpace的教育大数据研究热点与趋势分析,王娟;陈世超;王林丽;杨现民2;,江苏师范大学智慧教育学院;,2016
大数据时代的教育技术发展取向,安涛;赵可云;,江苏师范大学智慧教育学院;曲阜师范大学传媒学院;,2016
大数据学习分析的安全与隐私保护研究,赵慧琼;姜强;赵蔚;,东北师范大学计算机科学与信息技术学院;,2016
2015年度国际教育信息化发展动态及趋势分析,魏雪峰;李逢庆;钟靓茹;,鲁东大学教育科学学院;山东师范大学传媒学院;,2016
教育学研究的热点与重点——对2015年度人大复印报刊资料《教育学》转载论文的分析与展望,宣小红;薛莉;,中国人民大学书报资料中心;,2016
大数据时代的大学生学习及质量提升策略,程孝良;张永芳;,成都理工大学;,2016
大数据时代企业人力资源绩效管理创新,徐艳;,江西科技师范大学;,2016
计量视角下的我国人文社会科学领域大数据研究热点挖掘与分析,赵蓉英;魏绪秋;,武汉大学中国科学评价研究中心;武汉大学信息管理学院;,2016
大数据背景下信息管理专业人才培养模式改革创新影响因素研究——以湖北高校为例,查先进;杨海娟;,武汉大学信息管理学院;,2016
大数据在社会科学中的价值:以DMSP/OLS夜间灯光数据为例,范长煜;朱艳婷;高雅静;,南京大学社会学院;,2016
高校家庭经济困难学生资助政策实施效果研究——基于对北京部分高校本科毕业生的调查分析,武立勋;胡象明;,北京航空航天大学;,2016
面向数字人文研究的大规模古籍文本可视化分析与挖掘,欧阳剑;,上海师范大学语言研究所;广西民族大学图书馆;,2016
大数据时代学术期刊的内容优化与价值重构,夏登武;,宁波大学学报编辑部;,2016
基于移动大数据分析的图书馆个性化服务QOS保证研究,马晓亭;,兰州财经大学信息工程学院;,2016
大数据环境下的图书馆异构数据统一访问与转化系统,曹畋;,南京晓庄学院;,2016
基于大数据的网络舆情分析系统模型研究,马梅;刘东苏;李慧;,西安电子科技大学经济与管理学院;,2016
《图书馆工作与研究》大数据主题研究热点分析,杨维利;,天津医科大学图书馆;,2016
基于大数据挖掘与决策分析体系的高校图书馆个性化服务研究,李艳;吕鹏;李珑;,湖北省科学图书馆;中国科学院武汉文献情报中心;中南民族大学图书馆;,2016
国内外数据库索引编制研究的进展与趋势,张心源;邱均平;,武汉大学信息管理学院;武汉大学中国科学评价研究中心;,2016
图书馆精准服务研究,牛勇;,兰州大学图书馆;,2016
大数据环境下科技型中小企业创新发展的知识服务体系研究,程刚;,安徽财经大学管理科学与工程学院;,2016
大数据时代图书馆服务创新的内容及其策略研究,程结晶;,曲阜师范大学传媒学院;,2016
基于文献数据库的用户检索用词分析,宗凯韵;孙济庆;,华东理工大学科技信息研究所;,2016
基于CSSCI的我国大数据研究可视化分析,苏楠;,四川大学公共管理学院;,2016
网络计量学与Web挖掘对比研究,赵蓉英;魏明坤;,武汉大学中国科学评价研究中心;武汉大学信息管理学院;,2016
大数据时代物流信息平台构建与建设对策研究,王柏谊;孙庆峰;,北华大学经济管理学院;北华大学汽车与建筑工程学院;,2016
纸质媒体数据新闻实践特征及趋势分析——以《南方都市报》为例,李小华;张卉;,华南理工大学新闻与传播学院;,2016
面向决策的智库协同创新情报服务:功能定位与体系构建,李纲;李阳;,武汉大学信息资源研究中心;,2016
基于管理会计视角的财务大数据框架的构建,赵磊;,浙江盾安控股集团财务部;,2016
石油天然气行业科研创新与产出的关系研究,刘先涛;朱林;何沙;,西南石油大学经济管理学院;,2016
大数据驱动情景下企业商业模式创新的发生机理——对100个大数据案例的话语分析,李文博;,浙江师范大学经济与管理学院;,2016
量子思维对大数据背景下信息决策新思路的启示,戎思淼;,华东师范大学哲学系;华东理工大学理学院;,2016
大数据价值孵化机制研究,李天柱;马佳;吕健露;侯锡林;,辽宁科技大学工商管理学院;大连理工大学管理与经济学部;,2016
适用于大数据集的广义可加模型,许亦频;倪苹;,国家统计局统计科学研究所;东北财经大学统计学院;,2016
环保大数据及其在环境污染防治管理创新中的应用,詹志明;尹文君;,环境保护部办公厅信息办;IBM中国研究院;,2016
需求侧应急管理:基于食品安全的考察,许欢;高小平;,清华大学公共管理学院;中国行政管理学会;,2016
“大数据背景下法学期刊的管理”研讨会学术综述,林士平;,《现代法学》编辑部;西南政法大学;,2016
基于大数据的国家反恐决策与不确定性研究——兼论《反恐怖主义法》的重大意义,刘一弘;高小平;,荷兰乌特勒支大学;中国行政管理学会;,2016
中国互联网+社会保障信息系统构建——基于大数据挖掘视角,郜凯英;杨宜勇;,中国人民大学公共管理学院;国家发展和改革委员会社会发展研究所;,2016
大数据背景下图书馆管理思维和管理方式的变革,郑琳晰;,中共福建省委党校福建行政学院;,2016
基于大数据的教育决策支持研究,王博;魏顺平;,南京工业职业技术学院发展规划办公室;国家开放大学信息化部(工程中心);,2016
传播学视阈下的大数据研究——基于CNKI高被引论文的分析,邓备;,西南民族大学文学与新闻传播学院;,2016
大数据对人文社科成果评价的价值研究,蒋玲;施立红;苗林;,中国人民大学图书馆;,2016
MOOC在线学习行为的人类动力学分析,樊超;宗利永;,山西农业大学文理学院;上海出版印刷高等专科学校文化管理系;,2016
大数据视角下教育决策机制优化及实现路径,钟婉娟;侯浩翔;,西南大学教育学部;,2016
国外学习分析领域的研究现状与趋势分析,牟智佳;武法提;乔治·西蒙斯;,北京师范大学教育学部教育技术学院;德克萨斯大学阿灵顿分校学习创新与网络化知识研究实验室;,2016
图书馆大数据分析:挑战、设计和展望,陈臣;马晓亭;,兰州财经大学信息中心;兰州财经大学信息工程学院;,2016
基于资源基础观的企业大数据分析技术采用意愿影响因素研究,胡水晶;,上海政法学院法律学院;,2016
国际大数据领域研究热点及其演化路径分析,张敏;刘玉佩;朱明星;,武汉大学信息资源研究中心;,2016
大数据在图书情报领域的研究现状及趋势分析,刘成山;李玉;王洁良;,西安电子科技大学经济与管理学院;,2016
大数据下基于粗糙集的高校图书馆可持续发展评价研究,包颉;,上海理工大学图书馆;,2016
我国公共图书馆在大数据环境下的文化功能定位研究,李至楠;陈雅;,南京大学信息管理学院;,2016
地方社科院新型智库建构路径研究,罗繁明;赵恒煜;,广东省社会科学院;,2016
大数据出版:内涵及其实践运用,李德团;雷晓艳;,湖南科技学院新媒体与社会发展研究所;湖南工业大学文学与新闻传播学院;,2016
互联网综合理财平台的业务模式与监管路径,袁康;张彬;,武汉大学法学院;长江证券股份有限公司;,2016
大数据背景下的商业银行个人客户关系管理探讨,陈志刚;李斐然;尤瑞;,湖北工业大学经济与管理学院;,2016
大数据背景下电商发展对CPI的影响——基于线上线下价格波动同步性分析,周薇薇;田涛;,咸宁职业技术学院商学院;湖北科技学院经济与管理学院;,2016
大数据视角下城市活动的空间特征及其影响因素——以北京市城六区为例,薛涛;戴林琳;,北京纳墨文旅景观规划设计有限公司;北京大学城市与环境学院;,2016
大数据时代的大学英语写作教学模式重构,陈庆斌;,黑龙江大学;,2016
从网约车发展看政府管理模式创新,姜宁;,清华大学政治经济学研究中心;,2016
基于大数据的公共决策模式创新,牛正光;奉公;,中国农业大学人文与发展学院;,2016
网络空间意识形态安全的情势与策略——基于大数据背景的考察与分析,郭明飞;陈兰兰;,华中师范大学政治传播学院;,2016
政务大数据的开放与共享:条件、障碍与基本准则研究,翁列恩;李幼芸;,中国计量学院公共事务系;浙江大学公共管理学院;,2016
中国大都市发展与治理研究,陈社英;,佩斯大学公共管理系;,2016
国内政府信息公开研究现状与展望——迈向政府数据开放,吕红;马海群;,湖北医药学院公共卫生与管理学院;黑龙江大学信息资源管理研究中心;,2016
关于我国公共危机管理的思考——基于近三年60起典型突发事件的分析,申振东;郭勇;张罗娜;,贵州大学;,2016
大数据预测能力对公共决策的影响,胡亚谦;,中国政法大学政治与公共管理学院;,2016
大数据在减灾救灾中的应用研究,李云新;贾东霖;,中南财经政法大学公共管理学院;,2016
基于大数据的牛顿平台自适应学习机制分析——“教育大数据研究与实践专栏”之关键技术篇,万海鹏;汪丹;,北京师范大学教育技术学院;,2016
学习分析技术的研究现状与未来趋势——基于2011-2015年LAK会议论文的分析,曹帅;王以宁;徐鹏;,东北师范大学计算机科学与信息技术学院;东北师范大学传媒科学学院;东北师范大学信息化管理与规划办公室;,2016
大数据背景下科学课教师的教学行为评析——以两节小学科学同课异构课为例,陈俊强;连阳梅;冯涛;,厦门市思明区观音山音乐学校;厦门市前埔北区小学;首都师范大学教育技术系;,2016
高校人力资源管理的现实困境与对策——基于大数据思维下高校人事档案信息化建设的探讨,张丽娜;夏庆利;,黄冈师范学院人事处;黄冈师范学院教务处;,2016
大数据时代高校网络舆情研判与治理,孙莉玲;,东南大学经济管理学院;东南大学学生处;,2016
中国高校自主招生地方保护主义的大数据分析,刘进;陈建;,北京理工大学;,2016
高校思想政治教育运用大数据分析的多维路径,王民忠;闫华;,北京科技大学马克思主义学院;北京市委党校;,2016
大数据背景下的谷歌翻译——现状与挑战,斯介生;宋大我;李扬;,杭州电子科技大学经济学院;中国人民大学;中国人民大学统计学院;中国人民大学统计咨询研究中心;,2016
大数据在政府统计中的角色定位及应用路径探讨,漆威;黄恒君;,兰州财经大学金融学院;兰州财经大学统计学院;,2016
新常态下的新探索——第4届中国人力资源管理论坛观点综述,刘学;王红丽;,华南理工大学工商管理学院;,2016
国外教师数据素养教育研究与实践现状述评,李青;任一姝;,北京邮电大学网络教育学院;,2016
大数据时代的高校个性化教育:一种过程支持框架,周进;,文华学院院校研究所;,2016
媒体人眼中的数据新闻实践:价值、路径与前景——一项基于七位媒体人的深度访谈的研究,方洁;胡杨;范迪;,中国人民大学新闻学院;,2016
运用大数据进行出版服务转型升级,刘硕;,北京印刷学院经济管理学院;,2016
基于“大数据”的畅销书策划与运作,石姝莉;朱姗姗;,辽宁大学新闻与传播学院;,2016
智慧城市应急决策情报体系构建研究,李纲;李阳;,武汉大学信息资源研究中心;武汉大学信息管理学院;,2016
出版社在大数据环境下的库存管理,沈宇芬;赵敏;,外语教学与研究出版社;,2016
基于知识图谱国际视野下大数据研究可视化分析,邵慧丽;张帆;郝哲;梁玉琪;侯菲菲;,新乡医学院管理学院;新乡医学院现代教育技术中心;新乡医学院卫生信息资源研究中心;河南牧业经济学院图书馆;,2016
基于大数据分析的多馆制图书馆文献资源典藏策略研究,朱轶婷;李霖;韩玉巧;,中国民航大学图书馆;,2016
工程化与平行化的融合:大数据时代下的应急决策情报服务构思,李阳;李纲;,武汉大学信息资源研究中心;,2016
电商发展对CPI的影响研究——基于大数据背景下线上线下价格波动的同步性分析,田涛;,湖北科技学院经济与管理学院;,2016
“大数据时代”徐工集团财务管控体系构建,袁鹏;,徐工集团工程机械股份有限公司;,2016
我国险企运营中道德风险甄别问题研究——以大数据Hadoop聚类分析技术为视角,王海巍;,东北财经大学金融学院;,2016
基于云计算的企业大数据商业价值创造研究,李慧1;,南京讯润软件科技有限公司;,2016
基于O2O模式的大型科学仪器资源共享平台运行机制创新——以重庆大型科学仪器资源共享平台为例,张文瑾;唐于渝;洪梅;勾鑫晔;,重庆生产力促进中心;重庆市综合经济研究院;,2016
大数据时代下的外语社会化考试,蔡基刚;林芸;,复旦大学外文学院;,2016
大数据时代的文学研究方法——基于弗兰克·莫莱蒂文学定量分析法的考察,陈晓辉;,西北大学文学院;,2016
大数据支持下城市社区生活空间质量的可获性图谱法初探——以西安为例,张苏;常芳;李九全;陈正江;谢元礼;,西北大学城市与环境学院;西安外国语大学旅游学院·人文地理研究所;,2016
大数据时代的法治政府建设,王月峰;吕廷君;,北京政法职业学院应用法律系;中共北京市委党校政府法治研究中心;,2016
社会学视角下的大数据方法论及其困境,鲍雨;,江苏省社会科学院社会学所;,2016
大数据时代政府数据的开放,谢安;,中央财经大学;,2016
大数据与社会管理创新研究,张烨;,中宣部新闻局;,2016
政府绩效评估中的博弈及其影响,蔡立辉;刘晓洋;,暨南大学公共管理学院;广州大学公共管理学院;,2016
大数据时代中国政府统计调查体系改革研究,陈光慧;,暨南大学经济学院;,2016
创新大数据时代地方政府决策模式研究,闫利平;申灿;,河北行政学院法政教研部;,2016
大数据时代国家数据主权问题研究,杜雁芸;,国防科学技术大学国际问题研究中心;国防科学技术大学人文与社会科学学院;,2016
大数据背景下政府信息公开制度的构建与完善——兼论国外透明政府实践的前沿发展对我国的启示,苏云;任媛媛;,兰州大学管理学院;,2016
基于大数据的教学评价研究,李葆萍;周颖;,北京师范大学教育技术学院;,2016
基于教育大数据的学习干预模型构建,李彤彤;黄洛颖;邹蕊;武法提;,天津师范大学教育科学学院;北京师范大学信息网络中心;北京师范大学教育学部教育技术学院;,2016
大数据时代的高校师资队伍建设研究,石纬林;王轶;,吉林大学中国国有经济研究中心;长春工业大学外国语学院;,2016
教师TPACK专业发展研究:基于教育大数据的视角,胡水星;,湖州师范学院教师教育学院;,2016
大数据时代抽样调查面临的挑战与机遇,王莹;万舒晨;,国家开放大学统计学习中心;国家统计局统计教育培训中心;国家统计局工业统计司;中国人民大学统计学院;,2016
行为大数据与计算实验——探索经济研究新方法,王国成;,中国社会科学院数量经济与技术经济研究所;,2016
大数据背景下贝叶斯模型平均的理论突破与应用前景,高磊;刘乐平;卢志义;,天津财经大学大数据统计分析中心;天津商业大学理学院;,2016
MOOCs学习行为与学习效果的逻辑回归分析,宗阳;孙洪涛;张亨国;郑勤华;陈丽;,北京师范大学远程教育研究中心;中央民族大学现代教育技术部;北京师范大学教育学部;,2016
中国政务服务网络舆论新趋势,彭铁元;,人民日报社中国城市网大数据研究中心;,2016
基于Hadoop的微博舆情监控系统模型研究,杨爱东;刘东苏;,西安电子科技大学经济与管理学院;,2016
大数据热的冷思考,匡文波;黄琦翔;江波;,中国人民大学新闻学院;中国人民大学新闻与社会发展研究中心;华南理工大学图书馆;,2016
基于云计算的图书馆大数据分析和决策支持平台构建,陈臣;,兰州财经大学信息中心;,2016
大数据与传统统计分析,程丽娟;,岭南师范学院数学与计算科学学院;,2016
论大数据时代信息安全的新特点与新要求,王世伟;,上海社会科学院信息研究所;,2016
大数据环境下社会舆情及其演化分析研究,王曰芬;,南京理工大学经济管理学院信息管理系;,2016
国内外大数据工具学术论文比较研究——基于文献计量方法,赵丹;王晰巍;李嘉兴;张长亮;,吉林大学管理学院;,2016
大数据环境下嵌入式信息素质教育业务流程优化,李伟;,江苏农林职业技术学院图书馆;,2016
论大数据时代的威胁情报,范佳佳;,上海社会科学院信息研究所;,2016
融入工程化思维:大数据环境下情报分析机制的构建,张家年;王文韬;,武汉大学信息资源研究中心;,2016
负熵:大数据时代TPWKR企业营销五阶段模型的建构——以“购买的五阶段模型”为分析对象,蔡立媛;张金海;,武汉大学新闻传播学院;江西师范大学传播学院;,2016
图书馆大数据知识服务生态体系及其动力机制研究,刘桂锋;卢章平;化慧;,江苏大学科技信息研究所;江苏大学图书馆;,2016
大数据环境下图书馆用户小数据的采集、分析与应用,陈廉芳;,福建医科大学图书馆;,2016
《鲜活的知识:大英图书馆2015-2023》战略规划报告的启示与思考,王燕红;盛兴军;,上海大学图书情报档案系;上海大学图书馆;,2016
精准广告相关隐私问题的规制原则与策略,鞠宏磊;李欢;,中国政法大学新闻与传播学院;,2016
大数据背景下跨境电子商务信用评价体系构建,刘章发;,聊城大学东昌学院;,2016
大数据环境下双层分布式融合决策方法,杜元伟;杨娜;,中国海洋大学管理学院;昆明理工大学管理与经济学院;,2016
进一步做好大数据分析应用工作,李朴民;,国家发展改革委;,2016
税收治理的新范式及政策挑战,刘尚希;孙静;,财政部中国财政科学研究院;,2016
大数据思维:在税收风险管理中的应用,刘尚希;孙静;,财政部中国财政科学研究院;,2016
互联网金融的发展:大数据驱动与模式衍变,何飞;张兵;,南京大学商学院;,2016
大数据分析的理论与实践挑战,陈喜乐;朱本用;刘伟榕;,厦门大学哲学系;,2016
大数据时代农村公共危机管理信息化建设存在的问题及对策研究,胡扬名;李涛;,湖南农业大学公共管理与法学学院;,2016
大数据下的中国女性R&D人员群体状况计量分析,杨丽;,安徽大学艺术与传媒学院;,2016
大数据技术的哲学审思,张学义;彭成伦;,东南大学哲学与科学系;东南大学计算机科学与工程学院;,2016
中国大数据产业技术效率及其影响因素分析,韩先锋;惠宁;,西北大学经济管理学院;,2016
大数据能力内涵、维度及其与集团管控关系研究,谢卫红;刘高;王田绘;,广东工业大学管理学院;,2016
大数据——多维度给管理决策带来的改变,刘蕾;鄢章华;白世贞;,哈尔滨师范大学经济学院;哈尔滨工程大学经济管理学院;哈尔滨商业大学管理学院;,2016
“大数据”时代下开放式创新发展趋势,李涛1;高良谋;,大连理工大学系统工程研究所;东北财经大学工商管理学院;,2016
《生态环境大数据建设总体方案》政策解读,王建民;,清华大学软件学院;,2016
以大数据运用促生态环境供给侧改革,秋缬滢;,NA,2016
基于多源轨迹数据挖掘的城市居民职住平衡和分离研究,史新宇;,河南理工大学建筑与艺术设计学院;,2016
浅谈大数据时代与剧本创作和版权融合,李杨;,NA,2016
大数据国际政治研究的回顾与展望,吴江;张小劲;,清华大学政治学系;,2016
期刊数字化的版权困境与突破,刘冷;王国柱;,吉林大学法学院;,2016
大数据时代公务员媒介素养面临的新问题及提升对策,燕博;,湘潭大学公共管理学院;,2016
"大数据时代,改变了政府什么?——兼论传统政府的适应与转型",何哲;,国家行政学院公共管理教研部;,2016
大数据时代网上银行的安全保障义务研究,李晗;,北京工商大学法学院;,2016
在线视频学习投入的研究——MOOCs视频特征和学生跳转行为的大数据分析,陈侃;周雅倩;丁妍;严文蕃;吕倩文;,复旦大学心理系;复旦大学教师教学发展中心;美国马萨诸塞大学波士顿分校教育与人力资源管理系;,2016
学习分析:连接数字化学习经历与教育评价——访国际学习分析研究专家戴维·吉布森教授,郑隆威;冯园园;顾小清;,华东师范大学教育信息技术学系;华东师范大学外语学院教育技术中心;华东师范大学教育信息技术系;,2016
教育大数据应用:挑战和利用——兼论教育小数据的大作用,方柏林;,艾比林基督教大学;,2016
高等教育大数据分析:机遇与挑战,李馨;,中央电化教育馆;,2016
大数据思维在高校学生信息化管理中的支撑作用,王鑫家;,齐齐哈尔医学院成人与继续教育学院;,2016
大数据时代教育治理转型的前瞻性分析:机遇、挑战及演进逻辑,姚松;,河南大学教育科学学院;,2016
大数据驱动创新创业教育变革:理论与实践,郑石明;,中南大学公共管理学院;,2016
大数据时代互联网的使用情况及影响因素分析,林寒;罗教讲;,武汉大学社会学系;,2016
教学评议:从“以学生为中心”到“以同行为中心”,刘进1;沈红;,北京理工大学教育研究院;华中科技大学教育科学研究院;,2016
大数据背景下新闻采编新趋势,屈济荣;,湖南科技学院传媒学院;,2016
新媒体产业年度趋势解析及战略远景展望——平台全能化成为新动力机制,周笑;,复旦大学台湾研究中心;,2016
基于自媒体平台的“旅游者”时空行为研究——以W教授的微信“朋友圈”为例,苟思远;李钢;张可心;梁燕均;周佼;,西北大学城市与环境学院;,2016
基于百度指数的科技期刊影响力大数据分析——以《中华医学杂志》为例,张凯;,中南财经政法大学信息与安全工程学院;,2016
大数据时代下的图书馆跨界服务信息安全技术问题及对策,王彤;,山西大学经济与管理学院;,2016
图书馆大数据技术应用及关键问题研究,刘星星;,南京交通职业技术学院图书馆;南京交通职业技术学院采编部;,2016
大数据背景下的信号发送与信号甄别研究,李溪;郑馨;张建琦;,中山大学岭南学院;,2016
大数据分析和战略情报(节选),LIM K.;冉德彤;真溱;汤珊红;,中国国防科技信息中心;,2016
我国高校图书馆大数据研究现状分析,张宏;,广东警官学院图书馆;,2016
基于大数据的情报分析如何助力城市管理——纽约实践及启示,施雯;,上海图书馆上海科技情报研究所;,2016
大数据环境下企业技术创新知识管理模式研究,郭亚军;赵路路;赵静;,郑州航空工业管理学院信息科学学院;航空经济发展河南省协同创新中心;,2016
